**  Dictionary **

paper: Paper
session: unique session identifier
subject: subject identifier in session
o_subject: identifier in session of partner
aSS, aSH, etc are experimental payoffs as a function of Stag and Hare actions by subject and o_subject
stag: dummy equal to 1 if subject chose stag
otherstag: dummy equal to 1 if partner chose stag
matching: variable that denotes the type of matching used in the experiment
rothmalouf: dummy equal 1 if lottery method was used for payment

*****

paper,session,period,subject,o_subject,aSS,aSH,aHS,aHH,stag,otherstag,matching,rothmalouf
Battalio et al (2001),1,1,14,24,45,0,42,12,1,0,random,0
Battalio et al (2001),1,1,24,14,45,0,42,12,0,1,random,0
Battalio et al (2001),1,1,25,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,1,31,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,1,33,37,45,0,42,12,0,1,random,0
Battalio et al (2001),1,1,35,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,1,36,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,1,37,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,2,14,35,45,0,42,12,1,1,random,0
Battalio et al (2001),1,2,24,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,2,25,36,45,0,42,12,1,0,random,0
Battalio et al (2001),1,2,31,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,2,33,37,45,0,42,12,0,0,random,0
Battalio et al (2001),1,2,35,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,2,36,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,2,37,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,3,14,36,45,0,42,12,0,0,random,0
Battalio et al (2001),1,3,24,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,3,25,37,45,0,42,12,1,0,random,0
Battalio et al (2001),1,3,31,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,3,33,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,3,35,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,3,36,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,3,37,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,4,14,33,45,0,42,12,0,0,random,0
Battalio et al (2001),1,4,24,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,4,25,35,45,0,42,12,0,1,random,0
Battalio et al (2001),1,4,31,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,4,33,14,45,0,42,12,0,0,random,0
Battalio et al (2001),1,4,35,25,45,0,42,12,1,0,random,0
Battalio et al (2001),1,4,36,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,4,37,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,5,14,25,45,0,42,12,1,1,random,0
Battalio et al (2001),1,5,24,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,5,25,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,5,31,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,5,33,31,45,0,42,12,0,1,random,0
Battalio et al (2001),1,5,35,36,45,0,42,12,0,1,random,0
Battalio et al (2001),1,5,36,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,5,37,24,45,0,42,12,1,1,random,0
Battalio et al (2001),1,6,14,37,45,0,42,12,1,1,random,0
Battalio et al (2001),1,6,24,35,45,0,42,12,1,0,random,0
Battalio et al (2001),1,6,25,33,45,0,42,12,1,0,random,0
Battalio et al (2001),1,6,31,36,45,0,42,12,1,1,random,0
Battalio et al (2001),1,6,33,25,45,0,42,12,0,1,random,0
Battalio et al (2001),1,6,35,24,45,0,42,12,0,1,random,0
Battalio et al (2001),1,6,36,31,45,0,42,12,1,1,random,0
Battalio et al (2001),1,6,37,14,45,0,42,12,1,1,random,0
Battalio et al (2001),1,7,14,37,45,0,42,12,1,1,random,0
