**  Dictionary **

paper: Paper
session: unique session identifier

treatment: denotes the different treatments in the experiment
	Label of treatments are as follows
		BNL (baseline no lottery) -> Baseline
		BL (baseline lottery) -> Lottery
		C4530 and C6520 -> One Game (with corresponding a and b)
		5C4530 and 5C6520 -> Five Actions (with corresponding a and b)

period: period in session
fixed_id: subject identifier in session
partner_fixed_id: identifier in session of partner
a and b: payoff variables that change across games
game: # that denotes the 16 possible a and b combinations
action: = stag in all treatments but Five Actions where it goes from 1 to 5 (with 5 corresponding to stag)
o_action: action of partner in that period

*****


session,treatment,period,fixed_id,partner_fixed_id,a,b,game,action,o_action
103,BNL,1,1,2,25,30,3,1,1
103,BNL,1,1,2,45,10,5,0,1
103,BNL,1,1,2,85,20,14,0,1
103,BNL,1,1,2,85,40,16,0,1
103,BNL,1,1,2,65,10,9,0,1
103,BNL,1,1,2,85,30,15,0,1
103,BNL,1,1,2,25,20,2,1,1
103,BNL,1,1,2,85,10,13,0,1
103,BNL,1,1,2,45,20,6,0,1
103,BNL,1,1,2,25,10,1,1,1
103,BNL,1,1,2,45,30,7,0,1
103,BNL,1,1,2,65,30,11,0,1
103,BNL,1,1,2,65,40,12,0,1
103,BNL,1,1,2,25,40,4,1,1
103,BNL,1,1,2,65,20,10,0,1
103,BNL,1,1,2,45,40,8,0,1
103,BNL,1,2,1,85,20,14,1,0
103,BNL,1,2,1,45,30,7,1,0
103,BNL,1,2,1,65,30,11,1,0
103,BNL,1,2,1,25,10,1,1,1
103,BNL,1,2,1,45,40,8,1,0
103,BNL,1,2,1,65,40,12,1,0
103,BNL,1,2,1,85,40,16,1,0
103,BNL,1,2,1,85,10,13,1,0
103,BNL,1,2,1,25,30,3,1,1
103,BNL,1,2,1,65,20,10,1,0
103,BNL,1,2,1,65,10,9,1,0
103,BNL,1,2,1,25,40,4,1,1
103,BNL,1,2,1,45,20,6,1,0
103,BNL,1,2,1,85,30,15,1,0
103,BNL,1,2,1,45,10,5,1,0
103,BNL,1,2,1,25,20,2,1,1
103,BNL,1,3,4,25,20,2,1,1
103,BNL,1,3,4,85,40,16,0,1
103,BNL,1,3,4,65,10,9,0,1
