* Dictionary *
Treatment:	= 1 if perfect, = 2 if public, = 3 if private
epsilon:	probability signal is incorrect in treatments 2 and 3 (see paper for details)
			= 0.1 in main treatments, = 0.2 in "high noise" treatments
session:    session #
random:     sessions with the same value of random had the same random termination sequence
id:         id #, constant through session
group:      identifies subjects that were grouped together for a supergame
supergame:  match #
round:      round #
coop:       = 1 if subject cooperated, = 0 o/w
ocoop:      coop of other in pair, = 0 o/w
signal: 	= 1 if send signal of cooperation; 0 if send signal of defection (equal coop in treatment 1)
osignal: 	signal of other in pair
lottery:	= 1 if high prize, = 0 if low prize, in lottery conditional on choices; set to 0 for treatments ~= 1
same:		= 1 for matches that were experienced in all sessions that shared the same random sequence, 0 o/w
			data analysis reported in the paper is conditional on same == 1
**************

treatment	epsilon	session	random	id	group	supergame	round	coop	ocoop	signal	osignal	lottery	same
"Perfect"	.1	1	0	1	3	1	1	1	1	1	1	1	1
"Perfect"	.1	1	0	1	3	1	2	1	1	1	1	0	1
"Perfect"	.1	1	0	1	3	1	3	1	1	1	1	1	1
"Perfect"	.1	1	0	1	3	1	4	1	0	1	0	1	1
"Perfect"	.1	1	0	1	3	1	5	1	1	1	1	1	1
"Perfect"	.1	1	0	1	3	1	6	1	0	1	0	1	1
"Perfect"	.1	1	0	1	3	1	7	0	1	0	1	0	1
"Perfect"	.1	1	0	1	3	1	8	1	0	1	0	1	1
"Perfect"	.1	1	0	1	3	1	9	0	0	0	0	0	1
"Perfect"	.1	1	0	1	3	1	10	1	1	1	1	1	1
"Perfect"	.1	1	0	1	3	1	11	1	1	1	1	1	1
"Perfect"	.1	1	0	1	3	1	12	1	1	1	1	1	1
"Perfect"	.1	1	0	1	9	2	1	1	1	1	1	1	1
"Perfect"	.1	1	0	1	9	2	2	1	1	1	1	1	1
"Perfect"	.1	1	0	1	17	3	1	1	1	1	1	1	1
"Perfect"	.1	1	0	1	17	3	2	0	1	0	1	0	1
"Perfect"	.1	1	0	1	17	3	3	0	1	0	1	0	1
"Perfect"	.1	1	0	1	17	3	4	1	0	1	0	1	1
"Perfect"	.1	1	0	1	17	3	5	0	0	0	0	0	1
"Perfect"	.1	1	0	1	17	3	6	0	0	0	0	0	1
"Perfect"	.1	1	0	1	17	3	7	1	0	1	0	1	1
"Perfect"	.1	1	0	1	17	3	8	1	1	1	1	1	1
"Perfect"	.1	1	0	1	17	3	9	1	1	1	1	1	1
"Perfect"	.1	1	0	1	25	4	1	0	1	0	1	0	1
"Perfect"	.1	1	0	1	33	5	1	0	0	0	0	0	1
"Perfect"	.1	1	0	1	33	5	2	1	1	1	1	1	1
"Perfect"	.1	1	0	1	33	5	3	1	1	1	1	0	1
"Perfect"	.1	1	0	1	33	5	4	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	1	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	2	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	3	1	1	1	1	0	1
"Perfect"	.1	1	0	1	41	6	4	0	1	0	1	0	1
"Perfect"	.1	1	0	1	41	6	5	0	1	0	1	0	1
"Perfect"	.1	1	0	1	41	6	6	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	7	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	8	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	9	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	10	0	1	0	1	0	1
"Perfect"	.1	1	0	1	41	6	11	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	12	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	13	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	14	0	1	0	1	0	1
"Perfect"	.1	1	0	1	41	6	15	0	1	0	1	0	1
"Perfect"	.1	1	0	1	41	6	16	1	1	1	1	1	1
"Perfect"	.1	1	0	1	41	6	17	1	1	1	1	1	1
"Perfect"	.1	1	0	1	49	7	1	1	1	1	1	1	1
"Perfect"	.1	1	0	1	49	7	2	1	1	1	1	0	1
"Perfect"	.1	1	0	1	49	7	3	1	1	1	1	1	1
"Perfect"	.1	1	0	1	49	7	4	0	1	0	1	0	1
"Perfect"	.1	1	0	1	49	7	5	0	0	0	0	0	1
"Perfect"	.1	1	0	1	49	7	6	1	0	1	0	0	1
"Perfect"	.1	1	0	1	49	7	7	1	0	1	0	1	1
"Perfect"	.1	1	0	1	49	7	8	1	1	1	1	1	1
"Perfect"	.1	1	0	1	57	8	1	1	1	1	1	0	1
"Perfect"	.1	1	0	1	57	8	2	1	1	1	1	1	1
"Perfect"	.1	1	0	1	57	8	3	1	1	1	1	1	1
"Perfect"	.1	1	0	1	57	8	4	0	1	0	1	0	1
"Perfect"	.1	1	0	1	57	8	5	0	0	0	0	0	1
"Perfect"	.1	1	0	1	57	8	6	1	0	1	0	1	1
"Perfect"	.1	1	0	1	57	8	7	1	1	1	1	1	1
"Perfect"	.1	1	0	1	57	8	8	1	1	1	1	1	1
"Perfect"	.1	1	0	1	57	8	9	1	1	1	1	1	1
