* Dictionary *
paper:      paper #, labelled with authors and year
session:    session #
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
coop:       = 1 if subject cooperated, = 0 o/w
order:		for experiments with within subjects design this number indicates the order of the treatments
**************/

paper	session	id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	coop	order
"Dal Bo (2005)"	11100	11101	11126	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11101	11127	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11101	11128	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11101	11129	14	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11101	11130	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11102	11127	11	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11102	11128	12	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11102	11129	13	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11102	11130	14	1	4	65	10	100	35	1.166667	.8333333	.3125	1	3
"Dal Bo (2005)"	11100	11102	11116	15	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
"Dal Bo (2005)"	11100	11103	11128	11	1	4	65	10	100	35	1.166667	.8333333	.3125	0	3
