* Dictionary *
id:			    id #
oid:			    partner id #
supergame:	match #
round:		  round #
horizon:	length of supergame
r:    	    payoff to joint cooperation (reward) in dollars
s:          payoff to cooperation when other defects (sucker) in dollars
t:          payoff to defection when other cooperates (temptation) in dollars
p:          payoff to joint defection (punishment) in dollars
NOTE: r, s, t, and p above are the experimental currency units (ECU).
g:          1+g is the payoff to defection when other cooperates and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (gain)
l:          l is the payoff to cooperation when other defects and payoffs are
            normalized such that joint cooperation = 1 and joint defection = 0 (loss)
sizebad:    SIZE of the Basin of attraction of Always Defect, as defined in Embrey, Frechette, and Yuksel (2017), between 0 and 1.
			Only defined for round 1 because that is how it is used in that paper.
session:    session #
coop:       = 1 if subject cooperated, = 0 o/w
**************/

id	oid	supergame	round	horizon	r	s	t	p	g	l	sizebad	session	coop
73	77	1	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	80	2	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	75	3	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	78	4	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	81	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	86	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	83	7	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	85	8	1	8	51	22	63	39	1	1.416667	.1910112	4	0
73	74	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	82	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	84	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	82	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	81	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	79	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	75	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	74	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	83	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	80	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	86	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
73	75	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	78	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	77	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	78	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	82	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	86	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	82	6	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	82	7	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	83	8	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	73	9	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	85	10	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	82	11	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	76	12	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	84	13	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	83	14	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	86	15	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	73	16	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	75	17	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	82	18	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	75	19	1	8	51	22	63	39	1	1.416667	.1910112	4	1
74	84	20	1	8	51	22	63	39	1	1.416667	.1910112	4	1
75	79	1	1	8	51	22	63	39	1	1.416667	.1910112	4	1
75	79	2	1	8	51	22	63	39	1	1.416667	.1910112	4	1
75	73	3	1	8	51	22	63	39	1	1.416667	.1910112	4	1
75	84	4	1	8	51	22	63	39	1	1.416667	.1910112	4	1
75	84	5	1	8	51	22	63	39	1	1.416667	.1910112	4	1
