* Dictionary *
round:                    round # [1:6]
payoff:                   payoff in that round (realization of the lottery given the choice or payoff to adviser if advisee follows advice)
preference_0:             priority given to knowing The prob of the outcome being lower than 4 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_1:             priority given to knowing The prob of the outcome being greater than 16 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
preference_2:             priority given to knowing The prob of the outcome being b/w 8 and 12 is... [0:2] 0 being highest priority; set to missing for treatments ~= 3
numadvice:                number of pieces of advice deciders were shown [1:3]; set to missing for treatments ~= 3
advice_X:                 identifier (corresponding to reasons) of the piece of advice given in position X <= numadvice (see reasonno below); set to missing for treatments ~= 3
dist_left:                which distribution is on the left [0:4]
dist_right:               which distribution is on the right [0:5]
choice:                   = 1 if choose right distribution; = 0 if choose left distribution; set to missing for adviser
date:                     date of session (different sessions on same day are differentiated by decimals)
treatment:                = 1 for advice; = 2 for control - no advice; = 3 for priority
profit:                   payoff from first part -- survey and Holt-Laury (excluding show-up fee: $15)
female:                   = 1 if female; = 0 if male
age:                      age of subject
sn, se, so, sa, sc:       scores on the big 5 scales, respectively Neuroticism, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness
snp, sep, sop, sap, scp:  percentalies scores associated to sn, se, so, sa, sc using population percentile scores and adjusted for age and gender
rs:                       score on the sensation seeking scale
rstas, rses, rsdis, rsbd: subscales of rs, respectively Thrill and adventure seeking, Experience seeking, Disinhibition, and Boredom susceptibility
group:                    unique identifier for people matched together
id:                       unique subject identifier
adviser:                  = 1 if subject is an advisor; 0 o/w
reasonno:                 identifies the reason used by the advisor, i.e.
                          = 0 for "The prob of the outcome being lower than 4 is..."
                          = 1 for "The prob of the outcome being greater than 16 is..."
                          = 2 for "The prob of the outcome being b/w 8 and 12 is..."
reason_used:              reason number given to decider [0:2]; set to missing if adviser == 1 | treatment > 1
a:                        = advice but on the decider row; set to missing if adviser == 1 | treatment ~= 1
follow:                   = 1 if decision = advice and 0 o/w; set to missing for treatments ~= 1
advice:                   = 1 if advice is for the right; = 0 if advice if for the left; set to missing for decider
ra:                       = sum of number of safe decisions; set to missing if took safe decision, then risky, then safe again
high_var:                 = 1 if subject selected the option with highest variance; = 0  if subject selected the option with lowest variance; set to missing for advisor.
crra:                     = coefficient of constant relative risk aversion consistent with choices in the Holt-Laury lottery; set to missing if switch at first or last choice.
**************
round	payoff	preference_0	preference_1	preference_2	numadvice	advice_0	advice_1	advice_2	dist_left	dist_right	choice	date	treatment	profit	female	age	sn	se	so	sa	sc	snp	sep	sop	sap	scp	rs	rstas	rses	rsdis	rsbd	group	id	adviser	reasonno	reason_used	a	follow	advice	ra	high_var	crra
1	0								0	3	0	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		2	0	1		6	0	.545
1	3.33								0	3		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"8-12"				0	6		.545
2	0								0	2	0	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		2	0	1		6	0	.545
2	3.33								0	2		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"8-12"				0	6		.545
3	0								1	3	0	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		0	0	1		6	0	.545
3	3.33								1	3		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"LT4"				0	6		.545
4	0								0	1	0	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		2	0	1		6	0	.545
4	3.33								0	1		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"8-12"				0	6		.545
5	20								2	3	1	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		1	1	1		6	1	.545
5	3.33								2	3		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"GT16"				1	6		.545
6	0								1	2	1	40908.1	1	3.9	0	22	49.41141	61.9	49.59684	44.48855	54.555	47	87	48	30	65	32	10	8	9	5	1	10	0		2	1	1		6	1	.545
6	3.33								1	2		40908.1	1	3.9	1	21	43.10644	58.347	62.963	57.98068	70.49747	26	78	90	77	99	20	8	6	6	0	1	2	1	"8-12"				1	6		.545
1	9								0	2	0	40908.1	1	3.9	0	19	52.62793	46.29148	42.7405	51.3779	50.92477	59	36	25	54	53	14	8	2	2	2	2	11	0		2	0	1		2	0	-.72
1	3.33								0	2		40908.1	1	.1	1	18	42.69058	56.502	66.88345	30.21196	40.77191	25	72	97	0	19	35	10	9	8	8	2	12	1	"8-12"				0	3		-.315
2	0								1	2	0	40908.1	1	3.9	0	19	52.62793	46.29148	42.7405	51.3779	50.92477	59	36	25	54	53	14	8	2	2	2	2	11	0		0	0	1		2	0	-.72
