* Dictionary *
date:       session date (month/day/year/*, * is a decimal to separate different sessions conducted on the same day)
random:     sessions with the same value of random had the same random termination sequence
treatment:	= 1 if RT, = 2 if D + RT, = 3 if BRT, = 4 if D + C (see paper for details) 
id:         id #, constant through session
match:      match #
round:      round #
group:      identifies subjects that were grouped together for a match
valid:      = 1 if round counts toward final payoffs and is not last, = 0 if round counts toward final payoff and is last, = -1 if round does not count towards final payoffs; except for treatment = 2 where it takes on value 0 when the random number > 0.75 and -1 afterward, even if the game continued because it was in the front loaded part with payoff discounting.
spe:        = 1 if joint cooperation can be supported in equilibrium; 0 o/w
coop:       = 1 if subject cooperated, = 0 o/w
**************

date	random	treatment	id	match	round	group	valid	spe	coop
110609.1	1	1	1	1	1	2	1	1	1
110609.1	1	1	1	1	2	2	0	1	1
110609.1	1	1	1	2	1	12	1	1	1
110609.1	1	1	1	2	2	12	1	1	0
110609.1	1	1	1	2	3	12	0	1	0
110609.1	1	1	1	3	1	21	1	1	1
110609.1	1	1	1	3	2	21	1	1	1
110609.1	1	1	1	3	3	21	1	1	1
110609.1	1	1	1	3	4	21	0	1	1
110609.1	1	1	1	4	1	31	1	1	1
110609.1	1	1	1	4	2	31	0	1	0
110609.1	1	1	1	5	1	41	1	1	1
110609.1	1	1	1	5	2	41	1	1	1
110609.1	1	1	1	5	3	41	1	1	1
110609.1	1	1	1	5	4	41	1	1	0
110609.1	1	1	1	5	5	41	0	1	1
110609.1	1	1	1	6	1	51	1	1	1
110609.1	1	1	1	6	2	51	1	1	1
110609.1	1	1	1	6	3	51	1	1	1
110609.1	1	1	1	6	4	51	1	1	1
110609.1	1	1	1	6	5	51	1	1	1
110609.1	1	1	1	6	6	51	0	1	1
110609.1	1	1	1	7	1	62	1	1	1
110609.1	1	1	1	7	2	62	1	1	1
110609.1	1	1	1	7	3	62	1	1	1
110609.1	1	1	1	7	4	62	0	1	1
110609.1	1	1	1	8	1	72	1	1	1
110609.1	1	1	1	8	2	72	1	1	0
110609.1	1	1	1	8	3	72	1	1	0
110609.1	1	1	1	8	4	72	1	1	0
110609.1	1	1	1	8	5	72	0	1	0
110609.1	1	1	1	9	1	81	1	1	1
110609.1	1	1	1	9	2	81	1	1	0
110609.1	1	1	1	9	3	81	1	1	0
110609.1	1	1	1	9	4	81	1	1	0
110609.1	1	1	1	9	5	81	1	1	0
110609.1	1	1	1	9	6	81	1	1	0
110609.1	1	1	1	9	7	81	1	1	0
110609.1	1	1	1	9	8	81	1	1	0
110609.1	1	1	1	9	9	81	0	1	0
110609.1	1	1	1	10	1	91	1	1	1
110609.1	1	1	1	10	2	91	0	1	1
