/*****************************************************
*Dictionary*

round           repetition number. 10 rounds per session repeating the game
period          2 periods per game. 
group           group to which the subject belongs
subject         number, constant for a subject in the same session
subjectid       identity of the subject in the group: 1, 2 or 3
stage           proposal stage. if it passes first time only one stage is needed, potentially very large
x0              size of project at the beginning of a period
b1              provisional proposal to member with id1 
b2              idem id2
b3              idem id3
x               provisional allocation to investment
p1              selected proposal, allocation to member with id1
p2              idem id2
p3              idem id3
xp              selected allocation to investment
proposerid      id of the proposer
proposer        whether subject is the proposer
vote1           how the subject with id 1 voted: 1, voted in favor, 0 against
vote2           idem id2
vote3           idem id3
treatment       3: dynamic bargaining 80, 2: dynamic bargaining 20, 1: static bargaining
session         consecutive numbering for sessions
id              consecutive numbering for subjects
location        UCLA or NYU
my_priv         private allocation
prop_priv_floor proposer private allocation in the floor
high_priv       highest private allocation in provisional proposal
low_priv        lowest private allocation in provisional proposal
mwc             minimum winning coalition=1.
a10_mwc         aX_ stands for Almost with X units of slack on the lowest share
a20_mwc         idem X=20
a30_mwc         idem X=30

*****************************************************************************************************/
treatment	session	round	group	period	stage	id	subject	inv0	b1	b2	b3	inv	proposer	p1	p2	p3	subjectid	invp	proposerid	vote1	vote2	vote3	location	my_priv	prop_priv_floor	high_priv	low_priv	mwc	a10_mwc	a20_mwc	a30_mwc
"SB"	"UCLA SB S1"	1	0	1	1	34	2	0	50	50	50	50	1	50	50	50	3	50	3	1	0	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	0	1	1	112	8	0	50	50	50	50	0	50	50	50	1	50	3	1	0	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	0	1	1	162	12	0	80	100	0	20	0	50	50	50	2	50	3	1	0	1	"UCLA"	100	50	80	0	1	1	1	1
"SB"	"UCLA SB S1"	1	0	2	1	34	2	0	50	50	50	50	1	50	50	50	3	50	3	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	0	2	1	112	8	0	60	50	40	50	0	50	50	50	1	50	3	1	1	1	"UCLA"	60	50	50	40	0	0	0	0
"SB"	"UCLA SB S1"	1	0	2	1	162	12	0	50	50	50	50	0	50	50	50	2	50	3	1	1	1	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	1	1	1	47	3	0	50	50	50	50	1	50	50	50	2	50	2	0	1	0	"UCLA"	50	50	50	50	0	0	0	0
"SB"	"UCLA SB S1"	1	1	1	1	60	4	0	55	45	0	100	0	50	50	50	1	50	2	0	1	0	"UCLA"	55	50	45	0	1	1	1	1
"SB"	"UCLA SB S1"	1	1	1	1	172	13	0	50	20	90	40	0	50	50	50	3	50	2	0	1	0	"UCLA"	90	50	50	20	0	0	1	1
"SB"	"UCLA SB S1"	1	1	1	2	47	3	0	20	80	20	80	1	20	80	20	2	80	2	0	1	0	"UCLA"	80	80	20	20	0	0	0	0
