* Dictionary *
treatment:	treatment indicator: C0, U1, U2, R3, R4, R0
date:		session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
period:		period #
id:			id #, constant through session
group:		identifies subjects that were grouped together for a period
robot:		= 0 if human subject, = 1 o/w
demand:		= amount demanded (in points, out of 30)
stage_2:	= 1 if there was a stage 2 (demands were incompatible), 0 o/w
accepted:	= 1 if subject conceded to the other player's demand in stage 2, = 0 o/w; set to missing if stage_2 == 0
delay:		= time (in seconds) to concession in stage 2; set to 0 if stage_2 == 0
points:		= points obtained in that period
wonlottery:	= 1 if subject won the lottery at the end of the experiment
**************

treatment	date	period	id	group	robot	demand	stage_2	accepted	delay	points	wonlottery
"C0"	100113	1	96	721	0	15	0		0	17.5	0
"C0"	100113	1	97	721	0	10	0		0	12.5	0
"C0"	100113	1	91	737	0	20	1	0	4.69	19.08	1
"C0"	100113	1	93	737	0	15	1	1	4.69	9.54	0
"C0"	100113	1	94	753	0	12	1	1	1.49	9.85	0
"C0"	100113	1	98	753	0	20	1	0	1.49	19.7	0
"C0"	100113	1	99	769	0	13	1	1	4.21	4.79	0
"C0"	100113	1	100	769	0	25	1	0	4.21	23.96	1
"C0"	100113	1	92	785	0	15	0		0	15	0
"C0"	100113	1	95	785	0	15	0		0	15	0
"C0"	100113	2	92	722	0	15	0		0	17.5	0
"C0"	100113	2	94	722	0	10	0		0	12.5	0
"C0"	100113	2	97	738	0	11	1	1	1.27	4.93	0
"C0"	100113	2	99	738	0	25	1	0	1.27	24.68	0
"C0"	100113	2	91	754	0	20	1	1	4.68	9.54	1
"C0"	100113	2	93	754	0	20	1	0	4.68	19.08	0
"C0"	100113	2	95	770	0	15	1	1	1.53	.98	0
"C0"	100113	2	100	770	0	29	1	0	1.53	28.55	1
"C0"	100113	2	96	786	0	15	1	1	2.45	4.87	0
"C0"	100113	2	98	786	0	25	1	0	2.45	24.39	0
"C0"	100113	3	94	723	0	12	1	1	10.06	0	0
"C0"	100113	3	98	723	0	30	1	0	10.06	27.12	0
"C0"	100113	3	96	739	0	15	1	0	23	11.91	0
"C0"	100113	3	99	739	0	25	1	1	23	11.91	0
"C0"	100113	3	91	755	0	15	1	1	28.88	.74	1
"C0"	100113	3	100	755	0	29	1	0	28.88	21.72	1
"C0"	100113	3	92	771	0	13	0		0	14	0
"C0"	100113	3	95	771	0	15	0		0	16	0
"C0"	100113	3	93	787	0	20	0		0	20	0
"C0"	100113	3	97	787	0	10	0		0	10	0
"C0"	100113	4	91	724	0	25	1	1	10.09	13.56	1
"C0"	100113	4	95	724	0	15	1	0	10.09	13.56	0
"C0"	100113	4	92	740	0	12	0		0	16	0
"C0"	100113	4	96	740	0	10	0		0	14	0
"C0"	100113	4	94	756	0	10	0		0	12.5	0
"C0"	100113	4	97	756	0	15	0		0	17.5	0
"C0"	100113	4	93	772	0	20	1	0	10.79	17.95	0
"C0"	100113	4	98	772	0	30	1	1	10.79	8.97	0
"C0"	100113	4	99	788	0	30	1	1	178.37	.16	0
"C0"	100113	4	100	788	0	29	1	0	178.37	4.87	1
"C0"	100113	5	97	725	0	12	1	1	2.49	4.87	0
"C0"	100113	5	100	725	0	25	1	0	2.49	24.38	1
"C0"	100113	5	92	741	0	12	1	1	3.25	9.68	0
"C0"	100113	5	98	741	0	20	1	0	3.25	19.36	0
"C0"	100113	5	94	757	0	12	1	1	2.12	9.79	0
"C0"	100113	5	95	757	0	20	1	0	2.12	19.58	0
"C0"	100113	5	93	773	0	20	1	1	51.51	2.98	0
"C0"	100113	5	99	773	0	25	1	0	51.51	14.93	0
"C0"	100113	5	91	789	0	25	1	1	8.64	4.58	1
"C0"	100113	5	96	789	0	25	1	0	8.64	22.93	0
"C0"	100113	6	93	726	0	20	1	1	29.66	7.43	0
"C0"	100113	6	95	726	0	20	1	0	29.66	14.86	0
"C0"	100113	6	96	742	0	15	1	0	71.61	7.32	0
"C0"	100113	6	100	742	0	26	1	1	71.61	7.32	1
"C0"	100113	6	92	758	0	12	1	0	10.4	10.81	0
"C0"	100113	6	98	758	0	20	1	1	10.4	16.22	0
"C0"	100113	6	91	774	0	20	1	0	1.36	19.72	1
"C0"	100113	6	97	774	0	14	1	1	1.36	9.86	0
"C0"	100113	6	94	790	0	14	1	0	.48	13.93	0
"C0"	100113	6	99	790	0	20	1	1	.48	15.92	0
"C0"	100113	7	94	727	0	18	0		0	19	0
"C0"	100113	7	97	727	0	10	0		0	11	0
"C0"	100113	7	99	743	0	23	1	1	70.03	3.97	0
"C0"	100113	7	100	743	0	22	1	0	70.03	10.92	1
"C0"	100113	7	91	759	0	20	1	1	12.29	13.26	1
"C0"	100113	7	96	759	0	15	1	0	12.29	13.26	0
"C0"	100113	7	93	775	0	15	1	0	2.75	14.59	0
"C0"	100113	7	98	775	0	20	1	1	2.75	14.59	0
"C0"	100113	7	92	791	0	30	1	1	229.44	0	0
"C0"	100113	7	95	791	0	30	1	0	229.44	3.02	0
"C0"	100113	8	96	728	0	15	1	0	.64	14.9	0
"C0"	100113	8	99	728	0	20	1	1	.64	14.9	0
"C0"	100113	8	94	744	0	18	1	0	.47	17.91	0
"C0"	100113	8	97	744	0	20	1	1	.47	11.94	0
"C0"	100113	8	93	760	0	15	0		0	15	0
"C0"	100113	8	95	760	0	15	0		0	15	0
"C0"	100113	8	92	776	0	14	1	0	2.74	13.62	0
"C0"	100113	8	100	776	0	22	1	1	2.74	15.56	1
"C0"	100113	8	91	792	0	22	1	0	48.24	13.58	1
"C0"	100113	8	98	792	0	20	1	1	48.24	4.93	0
"C0"	100113	9	96	729	0	15	1	0	4.15	14.39	0
"C0"	100113	9	97	729	0	20	1	1	4.15	14.39	0
"C0"	100113	9	95	745	0	20	1	1	92.06	5.97	0
"C0"	100113	9	99	745	0	15	1	0	92.06	5.97	0
"C0"	100113	9	92	761	0	14	0		0	14.5	0
"C0"	100113	9	98	761	0	15	0		0	15.5	0
"C0"	100113	9	91	777	0	22	1	0	12.29	19.45	1
"C0"	100113	9	94	777	0	20	1	1	12.29	7.07	0
"C0"	100113	9	93	793	0	15	1	0	36.16	10.44	0
"C0"	100113	9	100	793	0	22	1	1	36.16	10.44	1
"C0"	100113	10	91	730	0	22	1	0	46.8	13.77	1
"C0"	100113	10	98	730	0	15	1	1	46.8	5.01	0
"C0"	100113	10	93	746	0	15	1	0	6.97	13.99	0
"C0"	100113	10	100	746	0	21	1	1	6.97	13.99	1
"C0"	100113	10	94	762	0	15	1	1	1.53	9.84	0
"C0"	100113	10	97	762	0	20	1	0	1.53	19.69	0
"C0"	100113	10	95	778	0	15	0		0	15	0
"C0"	100113	10	96	778	0	15	0		0	15	0
"C0"	100113	10	92	794	0	15	1	0	.2	14.97	0
"C0"	100113	10	99	794	0	17	1	1	.2	14.97	0
"C0"	100113	11	91	731	0	22	1	0	51.37	13.16	1
"C0"	100113	11	98	731	0	20	1	1	51.37	4.78	0
"C0"	100113	11	92	747	0	20	1	0	4.13	19.19	0
"C0"	100113	11	97	747	0	20	1	1	4.13	9.59	0
"C0"	100113	11	94	763	0	15	0		0	15	0
"C0"	100113	11	95	763	0	15	0		0	15	0
"C0"	100113	11	96	779	0	16	1	0	9	14.62	0
"C0"	100113	11	100	779	0	17.5	1	1	9	12.79	1
"C0"	100113	11	93	795	0	15	0		0	15	0
"C0"	100113	11	99	795	0	15	0		0	15	0
"C0"	100113	12	98	732	0	15	1	0	.58	14.91	0
"C0"	100113	12	100	732	0	17.5	1	1	.58	14.91	1
"C0"	100113	12	92	748	0	20	1	0	6.09	18.81	0
"C0"	100113	12	99	748	0	15	1	1	6.09	9.4	0
"C0"	100113	12	96	764	0	15	1	0	35.85	10.48	0
"C0"	100113	12	97	764	0	20	1	1	35.85	10.48	0
"C0"	100113	12	93	780	0	15	0		0	15	0
"C0"	100113	12	95	780	0	15	0		0	15	0
"C0"	100113	12	91	796	0	23	1	0	2.53	22.42	1
"C0"	100113	12	94	796	0	15	1	1	2.53	6.82	0
"C0"	100113	13	94	733	0	10	0		0	11.75	0
"C0"	100113	13	100	733	0	16.5	0		0	18.25	1
"C0"	100113	13	93	749	0	15	1	0	22.18	12.01	0
"C0"	100113	13	99	749	0	20	1	1	22.18	12.01	0
"C0"	100113	13	92	765	0	20	1	0	26.28	15.37	0
"C0"	100113	13	98	765	0	15	1	1	26.28	7.68	0
"C0"	100113	13	91	781	0	23	1	0	466.25	.21	1
"C0"	100113	13	96	781	0	15	1	1	466.25	.06	0
"C0"	100113	13	95	797	0	15	0		0	15	0
"C0"	100113	13	97	797	0	15	0		0	15	0
"C0"	100113	14	94	734	0	10	0		0	11.75	0
"C0"	100113	14	100	734	0	16.5	0		0	18.25	1
"C0"	100113	14	95	750	0	17	1	1	7.99	13.84	0
"C0"	100113	14	96	750	0	15	1	0	7.99	13.84	0
"C0"	100113	14	92	766	0	20	1	0	23.34	15.83	0
"C0"	100113	14	97	766	0	15	1	1	23.34	7.91	0
"C0"	100113	14	91	782	0	23	1	0	17.37	19.33	1
"C0"	100113	14	99	782	0	15	1	1	17.37	5.88	0
"C0"	100113	14	93	798	0	15	0		0	15	0
"C0"	100113	14	98	798	0	15	0		0	15	0
"C0"	100113	15	93	735	0	15	0		0	15	0
"C0"	100113	15	95	735	0	15	0		0	15	0
"C0"	100113	15	91	751	0	23	1	0	108.31	7.78	1
"C0"	100113	15	97	751	0	20	1	1	108.31	2.36	0
"C0"	100113	15	94	767	0	12	1	1	.27	9.97	0
"C0"	100113	15	99	767	0	20	1	0	.27	19.94	0
"C0"	100113	15	96	783	0	15	0		0	16	0
"C0"	100113	15	98	783	0	13	0		0	14	0
"C0"	100113	15	92	799	0	20	1	1	34.85	9.17	0
"C0"	100113	15	100	799	0	17	1	0	34.85	11.99	1
"C0"	100213	1	156	1185	0	20	1	0	.97	19.8	1
"C0"	100213	1	159	1185	0	16	1	1	.97	9.9	0
"C0"	100213	1	153	1201	0	20	1	1	4.31	14.36	0
"C0"	100213	1	162	1201	0	15	1	0	4.31	14.36	1
"C0"	100213	1	152	1217	0	20	1	1	1.64	14.75	0
"C0"	100213	1	161	1217	0	15	1	0	1.64	14.75	0
"C0"	100213	1	150	1233	0	15	0		0	15	1
"C0"	100213	1	154	1233	0	15	0		0	15	0
"C0"	100213	1	157	1249	0	20	1	0	69.4	9.99	0
"C0"	100213	1	160	1249	0	20	1	1	69.4	4.99	0
"C0"	100213	1	149	1265	0	15	0		0	18.5	0
"C0"	100213	1	158	1265	0	8	0		0	11.5	1
"C0"	100213	1	151	1281	0	12	1	0	1.16	11.86	0
"C0"	100213	1	155	1281	0	26	1	1	1.16	17.79	0
"C0"	100213	2	152	1186	0	20	1	1	.26	14.96	0
"C0"	100213	2	160	1186	0	15	1	0	.26	14.96	0
"C0"	100213	2	149	1202	0	15	0		0	15	0
"C0"	100213	2	157	1202	0	15	0		0	15	0
"C0"	100213	2	150	1218	0	15	0		0	16.5	1
"C0"	100213	2	158	1218	0	12	0		0	13.5	1
"C0"	100213	2	156	1234	0	21	1	0	3.39	20.3	1
"C0"	100213	2	161	1234	0	15	1	1	3.39	8.7	0
"C0"	100213	2	154	1250	0	15	0		0	15.5	0
"C0"	100213	2	155	1250	0	14	0		0	14.5	0
"C0"	100213	2	151	1266	0	20	1	1	.34	0	0
"C0"	100213	2	162	1266	0	30	1	0	.34	29.89	1
"C0"	100213	2	153	1282	0	17	1	0	1.1	16.81	0
"C0"	100213	2	159	1282	0	16	1	1	1.1	12.85	0
"C0"	100213	3	150	1187	0	15	0		0	15	1
"C0"	100213	3	158	1187	0	15	0		0	15	1
"C0"	100213	3	159	1203	0	18	1	1	.28	14.95	0
"C0"	100213	3	161	1203	0	15	1	0	.28	14.95	0
"C0"	100213	3	156	1219	0	22	1	0	4.52	21.02	1
"C0"	100213	3	160	1219	0	20	1	1	4.52	7.64	0
"C0"	100213	3	152	1235	0	15	0		0	15	0
"C0"	100213	3	154	1235	0	15	0		0	15	0
"C0"	100213	3	149	1251	0	15	1	0	2.3	14.65	0
"C0"	100213	3	153	1251	0	17	1	1	2.3	14.65	0
"C0"	100213	3	155	1267	0	28	1	1	.15	0	0
"C0"	100213	3	162	1267	0	30	1	0	.15	29.95	1
"C0"	100213	3	151	1283	0	15	0		0	15	0
"C0"	100213	3	157	1283	0	15	0		0	15	0
"C0"	100213	4	151	1188	0	15	0		0	15	0
"C0"	100213	4	157	1188	0	15	0		0	15	0
"C0"	100213	4	150	1204	0	15	0		0	17.5	1
"C0"	100213	4	160	1204	0	10	0		0	12.5	0
"C0"	100213	4	153	1220	0	15	1	0	.52	14.92	0
"C0"	100213	4	158	1220	0	20	1	1	.52	14.92	1
"C0"	100213	4	149	1236	0	15	1	0	17.68	12.56	0
"C0"	100213	4	156	1236	0	23	1	1	17.68	12.56	1
"C0"	100213	4	152	1252	0	18	1	1	1	14.85	0
"C0"	100213	4	161	1252	0	15	1	0	1	14.85	0
"C0"	100213	4	159	1268	0	17	1	1	.3	0	0
"C0"	100213	4	162	1268	0	30	1	0	.3	29.91	1
"C0"	100213	4	154	1284	0	30	1	0	1.15	29.65	0
"C0"	100213	4	155	1284	0	28	1	1	1.15	0	0
"C0"	100213	5	157	1189	0	15	1	0	.84	14.87	0
"C0"	100213	5	160	1189	0	20	1	1	.84	14.87	0
"C0"	100213	5	155	1205	0	3	0		0	5.5	0
"C0"	100213	5	156	1205	0	22	0		0	24.5	1
"C0"	100213	5	149	1221	0	15	1	0	10.57	13.49	0
"C0"	100213	5	162	1221	0	30	1	1	10.57	13.49	1
"C0"	100213	5	152	1237	0	13	0		0	14	0
"C0"	100213	5	158	1237	0	15	0		0	16	1
"C0"	100213	5	151	1253	0	15	1	1	.27	7.97	0
"C0"	100213	5	154	1253	0	22	1	0	.27	21.94	0
"C0"	100213	5	159	1269	0	19	1	1	.82	4.95	0
"C0"	100213	5	161	1269	0	25	1	0	.82	24.79	0
"C0"	100213	5	150	1285	0	15	1	0	5.76	14.16	1
"C0"	100213	5	153	1285	0	17	1	1	5.76	14.16	0
"C0"	100213	6	149	1190	0	20	1	0	.63	19.87	0
"C0"	100213	6	159	1190	0	27	1	1	.63	9.93	0
"C0"	100213	6	150	1206	0	15	1	0	.32	14.95	1
"C0"	100213	6	153	1206	0	17	1	1	.32	14.95	0
"C0"	100213	6	155	1222	0	16	1	1	.24	11.97	0
"C0"	100213	6	158	1222	0	18	1	0	.24	17.95	1
"C0"	100213	6	157	1238	0	17	1	0	.29	16.95	0
"C0"	100213	6	160	1238	0	30	1	1	.29	12.96	0
"C0"	100213	6	151	1254	0	15	1	0	8.23	13.81	0
"C0"	100213	6	161	1254	0	25	1	1	8.23	13.81	0
"C0"	100213	6	154	1270	0	30	1	0	71.29	14.7	0
"C0"	100213	6	162	1270	0	30	1	1	71.29	0	1
"C0"	100213	6	152	1286	0	14	1	1	6.06	7.52	0
"C0"	100213	6	156	1286	0	22	1	0	6.06	20.7	1
"C0"	100213	7	155	1191	0	16	0		0	16	0
"C0"	100213	7	160	1191	0	14	0		0	14	0
"C0"	100213	7	151	1207	0	20	1	1	62.19	1.07	0
"C0"	100213	7	161	1207	0	28	1	0	62.19	15.03	0
"C0"	100213	7	156	1223	0	22	0		0	26	1
"C0"	100213	7	162	1223	0	0	0		0	4	1
"C0"	100213	7	154	1239	0	30	1	0	5.95	28.26	0
"C0"	100213	7	159	1239	0	29	1	1	5.95	0	0
"C0"	100213	7	152	1255	0	14	1	0	.36	13.94	0
"C0"	100213	7	157	1255	0	17	1	1	.36	15.94	0
"C0"	100213	7	149	1271	0	20	1	1	10.73	12.57	0
"C0"	100213	7	153	1271	0	16	1	0	10.73	14.37	0
"C0"	100213	7	150	1287	0	15	1	0	1.92	14.71	1
"C0"	100213	7	158	1287	0	19	1	1	1.92	14.71	1
"C0"	100213	8	149	1192	0	20	1	0	.9399999	19.81	0
"C0"	100213	8	159	1192	0	16	1	1	.9399999	9.9	0
"C0"	100213	8	158	1208	0	11	1	0	5.74	10.38	1
"C0"	100213	8	161	1208	0	20	1	1	5.74	17.94	0
"C0"	100213	8	154	1224	0	30	1	0	361.7	.8	0
"C0"	100213	8	156	1224	0	22	1	1	361.7	0	1
"C0"	100213	8	152	1240	0	14	1	1	2.19	11.74	0
"C0"	100213	8	155	1240	0	18	1	0	2.19	17.61	0
"C0"	100213	8	150	1256	0	15	1	0	6.13	14.1	1
"C0"	100213	8	160	1256	0	22	1	1	6.13	14.1	0
"C0"	100213	8	153	1272	0	16.5	1	0	3.16	15.98	0
"C0"	100213	8	162	1272	0	30	1	1	3.16	13.08	1
"C0"	100213	8	151	1288	0	5	0		0	9	0
"C0"	100213	8	157	1288	0	17	0		0	21	0
