* Dictionary *
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
alpha:		alpha
round:		round #
stage:		stage #
group:		identifies subjects that were grouped together
subject:		subject #, changes across rounds
proposal1:		share of ressources offered as particularistic good to subjects #1
proposal2:		share of ressources offered as particularistic good to subjects #2
proposal3:		share of ressources offered as particularistic good to subjects #3
proposal4:		share of ressources offered as particularistic good to subjects #4
proposal5:		share of ressources offered as particularistic good to subjects #5
proposalpublic:	share of ressources offered as public good
chosen:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
id:			id #, constant through session

**************

date	alpha	round	stage	group	subject	proposal1	proposal2	proposal3	proposal4	proposal5	proposalpublic	chosen	vote	id
41106	.55	1	1	1	1	0	0	0	0	0	1	0	0	19
41106	.55	1	1	1	2	.2	.4	.2	0	0	.2	1	1	3
41106	.55	1	1	1	3	0	0	0	0	0	1	0	0	4
41106	.55	1	1	1	4	0	0	.2	.4	.2	.2	0	0	15
41106	.55	1	1	1	5	0	0	0	0	.02	.98	0	0	8
41106	.55	1	1	2	1	0	0	0	0	0	1	0	1	9
41106	.55	1	1	2	2	.04	.04	.04	.04	.04	.8	0	1	11
41106	.55	1	1	2	3	.02	.08	.1	.08	.02	.7	0	1	12
41106	.55	1	1	2	4	.02	.04	.04	.08	.02	.8	0	1	1
41106	.55	1	1	2	5	0	0	0	0	0	1	1	1	2
41106	.55	1	1	3	1	.2	.2	.2	.18	.18	.04	0	1	17
41106	.55	1	1	3	2	0	.3	.04	.04	.12	.5	0	1	16
41106	.55	1	1	3	3	0	0	0	0	0	1	0	1	20
41106	.55	1	1	3	4	0	.2	.1	.4	.1	.2	0	1	18
41106	.55	1	1	3	5	0	0	0	0	0	1	1	1	10
41106	.55	1	1	4	1	.32	.32	.32	0	0	.04	0	1	7
41106	.55	1	1	4	2	.1	.12	.06	.06	.06	.6	0	1	13
41106	.55	1	1	4	3	0	.2	.5	.2	0	.1	0	1	6
41106	.55	1	1	4	4	.1	.1	.1	.1	.1	.5	1	1	14
41106	.55	1	1	4	5	0	0	0	0	0	1	0	0	5
41106	.55	1	2	1	1	0	0	0	0	0	1	0	1	19
41106	.55	1	2	1	2	0	.225	.225	.225	.225	.1	0	1	3
41106	.55	1	2	1	3	0	0	0	0	0	1	1	1	4
41106	.55	1	2	1	4	0	0	0	0	0	1	0	1	15
41106	.55	1	2	1	5	0	0	0	0	.05	.95	0	1	8
41106	.55	2	1	1	1	0	0	0	0	0	1	1	1	17
41106	.55	2	1	1	2	.3	.3	.2	.1	.1	0	0	1	14
41106	.55	2	1	1	3	0	0	0	0	0	1	0	1	4
41106	.55	2	1	1	4	0	.1	0	.18	.12	.6	0	1	18
41106	.55	2	1	1	5	0	0	0	0	0	1	0	1	19
41106	.55	2	1	2	1	0	0	0	0	.3	.7	0	1	8
41106	.55	2	1	2	2	.14	.14	.14	.14	.14	.3	0	0	13
41106	.55	2	1	2	3	0	0	0	0	0	1	1	1	6
41106	.55	2	1	2	4	0	.04	.04	.12	0	.8	0	1	1
41106	.55	2	1	2	5	0	0	0	0	0	1	0	1	10
41106	.55	2	1	3	1	.3	.2	.04	.06	.1	.3	0	1	16
41106	.55	2	1	3	2	0	0	0	0	0	1	0	1	7
41106	.55	2	1	3	3	0	0	0	0	0	1	1	1	15
41106	.55	2	1	3	4	0	.34	.34	.32	0	0	0	1	3
41106	.55	2	1	3	5	0	0	0	0	0	1	0	1	12
41106	.55	2	1	4	1	.02	.02	.02	.02	.02	.9	0	1	20
41106	.55	2	1	4	2	0	0	0	0	0	1	1	1	9
41106	.55	2	1	4	3	.04	.04	.24	.04	.04	.6	0	1	11
41106	.55	2	1	4	4	0	0	0	.08	0	.92	0	1	2
41106	.55	2	1	4	5	0	0	0	0	0	1	0	1	5
41106	.55	3	1	1	1	0	0	0	0	0	1	0	0	14
41106	.55	3	1	1	2	0	.1	0	0	0	.9	0	0	18
41106	.55	3	1	1	3	.02	.02	.02	.02	.02	.9	0	0	20
41106	.55	3	1	1	4	0	0	0	.2	0	.8	0	0	2
41106	.55	3	1	1	5	.1	.1	.1	.2	.3	.2	1	1	16
41106	.55	3	1	2	1	0	0	0	0	0	1	1	1	7
41106	.55	3	1	2	2	0	0	0	0	0	1	0	1	15
41106	.55	3	1	2	3	0	0	0	0	0	1	0	1	3
41106	.55	3	1	2	4	0	0	0	0	0	1	0	1	5
41106	.55	3	1	2	5	0	0	0	0	0	1	0	1	4
41106	.55	3	1	3	1	.24	.04	.04	.04	.04	.6	1	1	11
41106	.55	3	1	3	2	0	.06	0	0	0	.94	0	0	1
41106	.55	3	1	3	3	.02	.02	.12	.02	.02	.8	0	0	6
41106	.55	3	1	3	4	0	0	0	0	0	1	0	0	19
41106	.55	3	1	3	5	0	0	0	0	.3	.7	0	0	8
41106	.55	3	1	4	1	0	0	0	0	0	1	0	1	10
41106	.55	3	1	4	2	.02	.02	.02	.02	.02	.9	1	1	13
41106	.55	3	1	4	3	0	0	0	0	0	1	0	1	12
41106	.55	3	1	4	4	0	0	0	0	0	1	0	1	17
41106	.55	3	1	4	5	0	0	0	0	0	1	0	1	9
41106	.55	3	2	1	1	0	0	0	0	0	1	0	1	14
41106	.55	3	2	1	2	0	.125	0	0	0	.875	0	1	18
41106	.55	3	2	1	3	0	0	0	0	0	1	1	1	20
41106	.55	3	2	1	4	0	0	0	0	0	1	0	1	2
41106	.55	3	2	1	5	0	0	0	0	0	1	0	1	16
41106	.55	3	2	3	1	0	0	0	0	0	1	0	1	11
41106	.55	3	2	3	2	0	0	0	0	0	1	0	1	1
41106	.55	3	2	3	3	.025	.05	.1	.05	.025	.75	0	1	6
41106	.55	3	2	3	4	0	0	0	0	0	1	1	1	19
41106	.55	3	2	3	5	0	0	0	0	.125	.875	0	1	8
41106	.55	4	1	1	1	.18	0	0	0	0	.82	0	1	2
41106	.55	4	1	1	2	0	0	0	0	0	1	1	1	20
41106	.55	4	1	1	3	0	0	0	0	0	1	0	1	16
41106	.55	4	1	1	4	.02	.04	.08	.04	.02	.8	0	1	6
41106	.55	4	1	1	5	0	0	0	0	0	1	0	1	15
41106	.55	4	1	2	1	0	0	0	0	0	1	0	0	12
41106	.55	4	1	2	2	0	0	0	0	0	1	0	1	14
41106	.55	4	1	2	3	0	0	.2	0	0	.8	1	1	4
41106	.55	4	1	2	4	0	0	0	0	0	1	0	1	10
41106	.55	4	1	2	5	0	0	0	0	.12	.88	0	0	8
41106	.55	4	1	3	1	.08	.08	.08	.08	.08	.6	0	1	13
41106	.55	4	1	3	2	0	0	0	0	0	1	0	1	5
41106	.55	4	1	3	3	0	0	0	0	0	1	1	1	3
41106	.55	4	1	3	4	0	0	0	0	0	1	0	1	11
41106	.55	4	1	3	5	0	0	0	0	0	1	0	1	19
41106	.55	4	1	4	1	0	0	0	0	0	1	0	1	17
