* Dictionary *
cycle:		cycle # (supergame within a session)
period:		period # (period within a cycle)
beta:			beta, = 999 if one-shot treatment (OS), = 999999 if infinity treatment
z:			public signal, set to missing if beta = 999999, or in two occasion because it was not recorded
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
coop:			= 1 if subject cooperated, = 0 o/w
group:		identifies subjects that were grouped together for a cycle
id:			id #, constant within a session
**************

cycle	period	beta	z	date	coop	group	id
1	1	0	16	111301	0	5	1
1	2	0	18	111301	0	5	1
1	3	0	16	111301	0	5	1
1	4	0	18	111301	0	5	1
2	1	0	20	111301	1	21	1
2	2	0	20	111301	1	21	1
2	3	0	20	111301	1	21	1
2	4	0	18	111301	1	21	1
2	5	0	18	111301	0	21	1
2	6	0	18	111301	0	21	1
2	7	0	16	111301	0	21	1
2	8	0	18	111301	0	21	1
2	9	0	18	111301	0	21	1
2	10	0	18	111301	0	21	1
2	11	0	18	111301	0	21	1
2	12	0	18	111301	0	21	1
2	13	0	18	111301	0	21	1
2	14	0	18	111301	0	21	1
2	15	0	16	111301	0	21	1
2	16	0	18	111301	0	21	1
3	1	0	20	111301	1	28	1
3	2	0	20	111301	1	28	1
3	3	0	20	111301	1	28	1
4	1	0	20	111301	1	39	1
4	2	0	20	111301	1	39	1
4	3	0	20	111301	1	39	1
4	4	0	20	111301	1	39	1
4	5	0	20	111301	1	39	1
4	6	0	20	111301	1	39	1
4	7	0	20	111301	1	39	1
4	8	0	20	111301	1	39	1
4	9	0	20	111301	1	39	1
4	10	0	20	111301	1	39	1
4	11	0	20	111301	1	39	1
4	12	0	20	111301	1	39	1
4	13	0	20	111301	1	39	1
4	14	0	20	111301	1	39	1
4	15	0	20	111301	1	39	1
4	16	0	20	111301	1	39	1
5	1	0	20	111301	1	56	1
5	2	0	20	111301	1	56	1
5	3	0	20	111301	1	56	1
5	4	0	20	111301	1	56	1
5	5	0	20	111301	1	56	1
6	1	0	20	111301	1	61	1
6	2	0	20	111301	1	61	1
6	3	0	20	111301	1	61	1
6	4	0	20	111301	1	61	1
6	5	0	20	111301	1	61	1
6	6	0	20	111301	1	61	1
7	1	0	20	111301	1	78	1
7	2	0	20	111301	1	78	1
8	1	0	20	111301	1	91	1
8	2	0	20	111301	1	91	1
8	3	0	20	111301	1	91	1
8	4	0	20	111301	1	91	1
8	5	0	20	111301	1	91	1
8	6	0	20	111301	1	91	1
8	7	0	20	111301	1	91	1
8	8	0	20	111301	1	91	1
8	9	0	20	111301	1	91	1
8	10	0	20	111301	1	91	1
8	11	0	20	111301	1	91	1
8	12	0	20	111301	1	91	1
8	13	0	20	111301	1	91	1
8	14	0	20	111301	1	91	1
8	15	0	20	111301	1	91	1
8	16	0	20	111301	1	91	1
8	17	0	20	111301	1	91	1
8	18	0	20	111301	1	91	1
8	19	0	20	111301	1	91	1
8	20	0	20	111301	1	91	1
8	21	0	20	111301	1	91	1
8	22	0	20	111301	1	91	1
1	1	0	18	111301	0	9	2
1	2	0	16	111301	0	9	2
1	3	0	18	111301	1	9	2
1	4	0	18	111301	0	9	2
2	1	0	18	111301	0	15	2
2	2	0	16	111301	0	15	2
2	3	0	18	111301	1	15	2
2	4	0	18	111301	1	15	2
2	5	0	18	111301	1	15	2
2	6	0	16	111301	0	15	2
2	7	0	16	111301	0	15	2
2	8	0	16	111301	0	15	2
2	9	0	16	111301	0	15	2
2	10	0	18	111301	0	15	2
2	11	0	20	111301	1	15	2
2	12	0	20	111301	1	15	2
2	13	0	18	111301	1	15	2
2	14	0	16	111301	0	15	2
2	15	0	20	111301	1	15	2
2	16	0	20	111301	1	15	2
3	1	0	20	111301	1	30	2
3	2	0	20	111301	1	30	2
3	3	0	18	111301	1	30	2
4	1	0	18	111301	1	37	2
4	2	0	16	111301	0	37	2
4	3	0	20	111301	1	37	2
4	4	0	20	111301	1	37	2
4	5	0	20	111301	1	37	2
4	6	0	20	111301	1	37	2
4	7	0	20	111301	1	37	2
