* Dictionary *
score1997:		percentage of votes in the second round of the 1997 elections
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	party	district	score1997	male	male_opp
"GODIN"	"ANDRE"	"PRG"	"1//1"	.5028288	1	1
"BOYON"	"JACQUES"	"RPR"	"1//1"	.4971712	1	1
"RAYMOND"	"MICHEL"	"PRG"	"1//4"	.4407869	1	1
"VOISIN"	"MICHEL"	"UDF"	"1//4"	.5592132	1	1
"LARRAT"	"GERARD"	"UDF"	"11//1"	.3929037	1	1
"PEREZ"	"JEAN CLAUDE"	"SOC"	"11//1"	.6070964	1	1
"MADALLE"	"ALAIN"	"RPR"	"11//2"	.3823619	1	1
"BASCOU"	"JACQUES"	"SOC"	"11//2"	.6176381	1	1
"ARATA"	"DANIEL"	"RPR"	"11//3"	.389484	1	1
"DUPRE"	"JEAN PAUL"	"SOC"	"11//3"	.610516	1	1
"HER"	"ANNE CHRISTINE"	"PRG"	"12//1"	.4369744	0	1
"BRIANE"	"JEAN"	"UDF"	"12//1"	.5630255	1	0
"RIGAL"	"JEAN"	"PRG"	"12//2"	.5714856	1	1
"ROQUES"	"SERGE"	"UDF"	"12//2"	.4285144	1	1
"FAUCONNIER"	"ALAIN"	"PRG"	"12//3"	.4382909	1	1
"GODFRAIN"	"JACQUES"	"RPR"	"12//3"	.5617092	1	1
"MEDVEDOWSKY"	"ALEXANDRE"	"SOC"	"13//14"	.4829742	1	1
"RAIMOND"	"JEAN BERNARD"	"RPR"	"13//14"	.5170258	1	1
"SAINT ELLIER"	"FRANCIS"	"UDF"	"14//1"	.4737563	1	1
"DURON"	"PHILIPPE"	"SOC"	"14//1"	.5262437	1	1
"LE BRETHON"	"BRIGITTE"	"RPR"	"14//2"	.3733158	0	1
"MEXANDEAU"	"LOUIS"	"SOC"	"14//2"	.6266842	1	0
"FANTON"	"ANDRE"	"RPR"	"14//3"	.4473668	1	0
"ROUDY"	"YVETTE"	"SOC"	"14//3"	.5526332	0	1
"KORO"	"MARIE ROSE"	"SOC"	"14//4"	.4503828	0	0
"AMELINE"	"NICOLE"	"UDF"	"14//4"	.5496172	0	0
"D'HARCOURT"	"FRANCOIS"	"UDF"	"14//5"	.4889412	1	0
"DUMONT"	"LAURENCE"	"SOC"	"14//5"	.5110589	0	1
"TOURRET"	"ALAIN"	"PRG"	"14//6"	.5054937	1	1
"GARREC"	"RENE"	"UDF"	"14//6"	.4945063	1	1
"SOUCHON"	"RENE"	"PRG"	"15//1"	.4957228	1	1
"COUSSAIN"	"YVES"	"UDF"	"15//1"	.5042772	1	1
"VIOLLET"	"JEAN CLAUDE"	"PRG"	"16//1"	.5323097	1	1
"MOTTET"	"PHILIPPE"	"UDF"	"16//1"	.4676903	1	1
"REYNAUD"	"MARIE LINE"	"PRG"	"16//2"	.5481128	0	1
"HOUSSIN"	"PIERRE REMY"	"RPR"	"16//2"	.4518873	1	0
"DE RICHEMONT"	"HENRI"	"RPR"	"16//3"	.4363963	1	1
"LAMBERT"	"JEROME"	"PRG"	"16//3"	.5636037	1	1
"BEAUCHAUD"	"JEAN CLAUDE"	"PRG"	"16//4"	.6479532	1	1
"RIFFAUD"	"PATRICK"	"UDF"	"16//4"	.3520468	1	1
"CLERC"	"FRANCOISE"	"UDF"	"17//1"	.4043161	0	1
"CREPEAU"	"MICHEL"	"PRG"	"17//1"	.5956839	1	0
"GRASSET"	"BERNARD"	"SOC"	"17//2"	.530704	1	1
"BRANGER"	"JEAN GUY"	"UDF"	"17//2"	.469296	1	1
"ROUGER"	"JEAN"	"SOC"	"17//3"	.5485899	1	1
"DE ROUX"	"XAVIER"	"UDF"	"17//3"	.4514101	1	1
"BUSSEREAU"	"DOMINIQUE"	"UDF"	"17//4"	.5106972	1	1
"CALLAUD"	"PHILIPPE"	"PRG"	"17//4"	.4893028	1	1
"BILLOT ZELLER"	"CLAUDE"	"SOC"	"17//5"	.4463108	1	1
"QUENTIN"	"DIDIER"	"RPR"	"17//5"	.5536892	1	1
"HODEL"	"ROLAND"	"PRG"	"18//1"	.492399	1	1
"FROMION"	"YVES"	"RPR"	"18//1"	.507601	1	1
"LEPELTIER"	"SERGE"	"RPR"	"18//3"	.4611943	1	1
"GALUT"	"YANN"	"PRG"	"18//3"	.5388057	1	1
"HOLLANDE"	"FRANCOIS"	"PRG"	"19//1"	.5452417	1	1
"AUBERT"	"RAYMOND MAX"	"RPR"	"19//1"	.4547583	1	1
"MURAT"	"BERNARD"	"RPR"	"19//2"	.4808257	1	1
"NAUCHE"	"PHILIPPE"	"PRG"	"19//2"	.5191743	1	1
"BOURZAI"	"BERNADETTE"	"PRG"	"19//3"	.470309	0	1
"DUPONT"	"JEAN PIERRE"	"RPR"	"19//3"	.529691	1	0
"LAMANT"	"JEAN CLAUDE"	"RPR"	"2//1"	.4063031	1	1
"DOSIERE"	"RENE"	"SOC"	"2//1"	.5936969	1	1
"BAUR"	"CHARLES"	"UDF"	"2//2"	.4347736	1	0
"GRZEGRZULKA"	"ODETTE"	"SOC"	"2//2"	.5652264	0	1
