* Dictionary *
score2007:		percentage of votes in the second round of the 2007 elections
score1992:		percentage of votes in the second round of the 2002 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
first_name:		first name of candidate
last_name:		last name of candidate
**************

score2002	score1997	male	male_opp	district	age	age_opp	last_name	first_name	status	status_opp	party	expenditures	party_support
.426	.5028	1	1	"1//1"	60.12	58.9	"Godin"	"André"	"I"	"N"	"PS/Verts"	48201	5094
.574	.4972	1	1	"1//1"	58.9	60.12	"Bertrand"	"Jean-Michel"	"N"	"I"	"UMP"	50399	0
.6189	.4392	1	0	"1//2"	70.4	58.71	"Guichon"	"Lucien"	"I"	"N"	"UMP/UDF"	30352	0
.3811	.3783	0	1	"1//2"	58.71	70.4	"Drut-Gorju"	"Eliane"	"N"	"I"	"PS/G"	19581	0
.635	.5592	1	1	"1//4"	57.73	50.4	"Voisin"	"Michel"	"I"	"L"	"UMP/UDF"	22092	1646
.365	.4408	1	1	"1//4"	50.4	57.73	"Raymond"	"Michel"	"L"	"I"	"PS/G"	52889	0
.5664	.4386	1	0	"10//1"	71.69	42.93	"Micaux"	"Pierre"	"I"	"N"	"UMP/D"	15300	17000
.4336	.3898	0	1	"10//1"	42.93	71.69	"Bret"	"Line"	"N"	"I"	"PS/G"	22451	0
.4155	.4185	1	1	"10//2"	55.7	62.88	"Fournier"	"Yves"	"L"	"N"	"PS/G"	21115	0
.5845	.4223	1	1	"10//2"	62.88	55.7	"Mathis"	"Jean-Claude"	"N"	"L"	"UMP/D"	46259	10000
.5546	.6071	1	1	"11//1"	38.24	60.63	"Perez"	"Jean-Claude"	"I"	"L"	"PS/G"	46366	14667
.4454	.3929	1	1	"11//1"	60.63	38.24	"Larrat"	"Gérard"	"L"	"I"	"UMP/D"	20948	10000
.5591	.6176	1	1	"11//2"	49.24	31.18	"Bascou"	"Jacques"	"I"	"N"	"PS/G"	45939	3033
.4409	.3824	1	1	"11//2"	31.18	49.24	"Py"	"Michel"	"N"	"I"	"UMP/D"	57503	10000
.582	.6105	1	0	"11//3"	58.4	47.55	"Dupré"	"Jean-Paul"	"I"	"N"	"PS/G"	32753	2928
.418	.3895	0	1	"11//3"	47.55	58.4	"Denux"	"Monique"	"N"	"I"	"UDF/D/ump"	23331	0
.5678	.563	1	0	"12//1"	38.38	42.92	"Censi"	"Yves"	"N"	"N"	"UMP/D"	44762	10000
.4322	.437	0	1	"12//1"	42.92	38.38	"Cluzel"	"Anne-Marie"	"N"	"N"	"PS/G"	29882	0
.6146	.5617	1	1	"12//3"	59.07	57.36	"Godfrain"	"Jacques"	"I"	"L"	"UMP/UDF"	39723	0
.3854	.4383	1	1	"12//3"	57.36	59.07	"Fauconnier"	"Alain"	"L"	"I"	"PS/G"	20213	0
.6018	.442	1	0	"13//1"	56.97	50.44	"Blum"	"Roland"	"I"	"L"	"UMP/D"	42784	30563
.3982	.3859	0	1	"13//1"	50.44	56.97	"Carlotti"	"Marie-Arlette"	"L"	"I"	"PS/G"	34178	1307
.5659	.5706	1	0	"13//13"	61.63	43.56	"Vaxes"	"Michel"	"I"	"N"	"PCF/G/ps"	52314	0
.4341	.4294	0	1	"13//13"	43.56	61.63	"Fructus"	"Arlette"	"N"	"I"	"UMP/D"	49734	10000
.419	.483	0	0	"13//14"	59.98	59.88	"Rumani-Elbez"	"Danièle"	"N"	"N"	"PRG/G/ps"	36925	0
.581	.517	0	0	"13//14"	59.88	59.98	"Joissains Masini"	"Maryse"	"N"	"N"	"UMP/D"	58487	10319
.5831	.4161	1	1	"13//15"	69.51	41.42	"Vachet"	"Léon"	"I"	"L"	"UMP/D"	43846	7600
.4169	.3892	1	1	"13//15"	41.42	69.51	"Chérubini"	"Hervé"	"L"	"I"	"PS/G"	26371	0
.5717	.4171	1	1	"13//3"	60.55	45.37	"Roatta"	"Jean"	"I"	"N"	"UMP/D"	48405	30563
.4283	.4073	1	1	"13//3"	45.37	60.55	"Malauzat"	"Gabriel"	"N"	"I"	"PS/G"	35520	0
.4986	.5262	1	0	"14//1"	55.03	51.31	"Duron"	"Philippe"	"I"	"N"	"PS/G"	32589	730
.5014	.4738	0	1	"14//1"	51.31	55.03	"Le Brethon"	"Brigitte"	"N"	"I"	"UMP/D"	20968	0
.4893	.6267	1	1	"14//2"	70.99	39.88	"Mexandeau"	"Louis"	"I"	"N"	"PS/G"	37755	0
.5107	.3733	1	1	"14//2"	39.88	70.99	"Thomas"	"Rodolphe"	"N"	"I"	"UDF/D"	57865	14540
.5621	.4474	1	0	"14//3"	61.5	40.01	"Leteurtre"	"Claude"	"N"	"N"	"UDF/D"	35809	0
.4379	.5526	0	1	"14//3"	40.01	61.5	"Valter"	"Clotilde"	"N"	"N"	"PS/G"	36060	2292
.401	.5111	0	1	"14//5"	32.01	55.36	"Robert-Kerbrat"	"Marie-Anne"	"N"	"N"	"Verts/G"	32743	0
.599	.4989	1	0	"14//5"	55.36	32.01	"Lefranc"	"Jean-Marc"	"N"	"N"	"UDF/D"	44551	0
.4542	.5055	1	1	"14//6"	54.51	53.35	"Tourret"	"Alain"	"I"	"N"	"PRG/G/ps"	31876	0
.5458	.4945	1	1	"14//6"	53.35	54.51	"Cousin"	"Jean-Yves"	"N"	"I"	"UMP/D"	35909	10000
