* Dictionary *
score2002:		percentage of votes in the second round of the 2002 elections
score1997:		percentage of votes in the second round of the 1997 elections by the candidate of the same party
male:			= 1 if the candidate is male, 0 o/w
male_opp:		= 1 if the candidate's opponent is male, 0 o/w
district:		district
age:			age at time of the election
age_opp:		age of the opponent at time of the election
status:		= "N" if candidate is new; = "I" if candidate is an incumbent; = "L" if candidate was a candidate in 1997 who lost; = "M" if candidate was an incumbent in a different district in 1997
status_opp:		= status of opponent
party:		party
expenditures:	campaign expenditures
party_support:	party contributions to campaing expenditures
first_name:		first name of candidate
last_name:		last name of candidate
**************

last_name	first_name	score2002	district	score2007	male	male_opp	party	age	age_opp	status	status_opp
"debat"	"jean francois"	.426	"1//1"	.4634	1	1	"PS"	41.08333	44.91667	"N"	"N"
"breton"	"xavier"	.574	"1//1"	.5366	1	1	"UMP"	44.91667	41.08333	"N"	"N"
"bret"	"line"	.4336	"10//1"	.3936	0	1	"PS"	47.58333	46.91667	"L"	"N"
"dhuicq"	"nicolas"	.5664	"10//1"	.6064	1	0	"UMP"	46.91667	47.58333	"N"	"L"
"mathis"	"jean claude"	.5845	"10//2"	.6526	1	0	"UMP"	67.66666	37.75	"I"	"N"
"ayadi"	"saliha"	.4155	"10//2"	.3474	0	1	"PS"	37.75	67.66666	"N"	"I"
"perez"	"jean claude"	.5546	"11//1"	.5448	1	0	"PS"	43.25	42.33333	"I"	"N"
"chesa"	"isabelle"	.4454	"11//1"	.4552	0	1	"UMP"	42.33333	43.25	"N"	"I"
"bascou"	"jacques"	.5591	"11//2"	.5365	1	1	"PS"	54.25	36.33333	"I"	"L"
"py"	"michel"	.4409	"11//2"	.4635	1	1	"UMP"	36.33333	54.25	"L"	"I"
"dupre"	"jean paul"	.582	"11//3"	.5836	1	1	"PS"	63.16667	57.83333	"I"	"N"
"salvignol"	"jean"	.418	"11//3"	.4164	1	1	"UMP"	57.83333	63.16667	"N"	"I"
"censi"	"yves"	.5678	"12//1"	.5332	1	1	"UMP"	43.16667	54.91667	"I"	"N"
"teyssedre"	"christian"	.4322	"12//1"	.4668	1	1	"PS"	54.91667	43.16667	"N"	"I"
"marre"	"beatrice"	.3854	"12//3"	.4233	0	1	"PS"	55.33333	50.08333	"L"	"N"
"marc"	"alain"	.6146	"12//3"	.5767	1	0	"UMP"	50.08333	55.33333	"N"	"L"
"blum"	"roland"	.6018	"13//1"	.5696	1	0	"UMP"	61.58333	55.08333	"I"	"N"
"carlotti"	"marie arlette"	.3982	"13//1"	.4304	0	1	"PS"	55.08333	61.58333	"N"	"I"
"joissains masini"	"maryse"	.581	"13//14"	.5484	0	1	"UMP"	64.66666	48.41667	"I"	"N"
"medvedowsky"	"alexandre"	.419	"13//14"	.4516	1	0	"PS"	48.41667	64.66666	"N"	"I"
"roatta"	"jean"	.5717	"13//3"	.505	1	1	"UMP"	66	52.33333	"I"	"L"
"mennucci"	"patrick"	.4283	"13//3"	.495	1	1	"PS"	52.33333	66	"L"	"I"
"le brethon"	"brigitte"	.5014	"14//1"	.4583	0	1	"UMP"	56.25	60.5	"I"	"L"
"duron"	"philippe"	.4986	"14//1"	.5417	1	0	"PS"	60.5	56.25	"L"	"I"
"cousin"	"jean yves"	.5458	"14//6"	.5483	1	1	"UMP"	58.16667	60	"I"	"L"
"tourret"	"alain"	.4542	"14//6"	.4517	1	1	"Radical de gauche"	60	58.16667	"L"	"I"
"markarian"	"jacques"	.4295	"15//1"	.4404	1	1	"PS"	61.08333	45	"N"	"N"
"descoeur"	"vincent"	.5705	"15//1"	.5596	1	1	"UMP"	45	61.08333	"N"	"N"
"viollet"	"jean claude"	.5105	"16//1"	.5874	1	0	"PS"	56.5	55.16667	"I"	"N"
"faury"	"martine"	.4895	"16//1"	.4126	0	1	"UMP"	55.16667	56.5	"N"	"I"
"mouhot"	"jerome"	.5054	"16//2"	.4722	1	0	"UMP"	58.16667	52.58333	"L"	"N"
"reynaud"	"marie line"	.4946	"16//2"	.5278	0	1	"PS"	52.58333	58.16667	"N"	"L"
"lambert"	"jerome"	.5496	"16//3"	.6156	1	0	"PS"	50.5	49.25	"I"	"N"
"fombaron"	"caroline"	.4504	"16//3"	.3844	0	1	"UMP"	49.25	50.5	"N"	"I"
"mottet"	"philippe"	.4099	"16//4"	.4297	1	0	"UMP"	43.66667	48.83333	"N"	"N"
"pinville"	"martine"	.5901	"16//4"	.5703	0	1	"PS"	48.83333	43.66667	"N"	"N"
"leonard"	"jean louis"	.5355	"17//2"	.502	1	1	"UMP"	56.58333	56.41667	"I"	"L"
"bonnin"	"andre"	.4645	"17//2"	.498	1	1	"PS"	56.41667	56.58333	"L"	"I"
"de roux"	"xavier"	.5377	"17//3"	.4798	1	0	"UMP"	67	59.25	"I"	"N"
"quere"	"catherine"	.4623	"17//3"	.5202	0	1	"PS"	59.25	67	"N"	"I"
"sandrier"	"jean claude"	.5565	"18//2"	.5737	1	1	"PS"	61.66667	57.5	"I"	"L"
"thomas richard"	"franck"	.4435	"18//2"	.4263	1	1	"UMP"	57.5	61.66667	"L"	"I"
"cosyns"	"louis"	.5045	"18//3"	.5096	1	1	"UMP"	54.75	41.25	"I"	"L"
"galut"	"yann"	.4955	"18//3"	.4904	1	1	"PS"	41.25	54.75	"L"	"I"
"hollande"	"francois"	.5292	"19//1"	.603	1	1	"PS"	52.66667	63.25	"I"	"N"
"decaie"	"jean pierre"	.4708	"19//1"	.397	1	1	"UMP"	63.25	52.66667	"N"	"I"
"soulier"	"frederic"	.5368	"19//2"	.4906	1	1	"UMP"	42	49.58333	"I"	"L"
"nauche"	"philippe"	.4632	"19//2"	.5094	1	1	"PS"	49.58333	42	"L"	"I"
"dupont"	"jean pierre"	.568	"19//3"	.5013	1	0	"UMP"	74.5	52.91667	"I"	"N"
"leclerc"	"martine"	.432	"19//3"	.4987	0	1	"PS"	52.91667	74.5	"N"	"I"
"balligand"	"jean pierre"	.6056	"2//3"	.5331	1	1	"PS"	57.41667	46.75	"I"	"N"
"meura"	"frederic"	.3944	"2//3"	.4669	1	1	"UMP"	46.75	57.41667	"N"	"I"
"depierre"	"bernard"	.5274	"21//1"	.5544	1	0	"UMP"	62.5	56.83333	"I"	"N"
"tenenbaum"	"francoise"	.4726	"21//1"	.4456	0	1	"PS"	56.83333	62.5	"N"	"I"
"popard"	"colette"	.4322	"21//2"	.4248	0	1	"PS"	54.58333	51.5	"L"	"N"
"delatte"	"remi"	.5678	"21//2"	.5752	1	0	"UMP"	51.5	54.58333	"N"	"L"
"bousquet"	"danielle"	.5502	"22//1"	.5772	0	1	"PS"	62.41667	54.5	"I"	"N"
"cadec"	"alain"	.4498	"22//1"	.4228	1	0	"UMP"	54.5	62.41667	"N"	"I"
"gaubert"	"jean"	.5012	"22//2"	.5468	1	1	"PS"	60.25	59.16667	"I"	"L"
"vaspart"	"michel"	.4988	"22//2"	.4532	1	1	"UMP"	59.16667	60.25	"L"	"I"
"le fur"	"marc"	.5271	"22//3"	.5202	1	1	"UMP"	50.91667	53.83333	"I"	"N"
"cauret"	"loic"	.4729	"22//3"	.4798	1	1	"PS"	53.83333	50.91667	"N"	"I"
"oget"	"marie renee"	.5582	"22//4"	.6322	0	0	"PS"	62.08333	61.33333	"I"	"N"
"bague"	"marie elisabeth"	.4418	"22//4"	.3678	0	0	"UMP"	61.33333	62.08333	"N"	"I"
"furet"	"marie dominique"	.4908	"22//5"	.4392	0	0	"UMP"	49.66667	40.16667	"N"	"N"
"erhel"	"corinne"	.5092	"22//5"	.5608	0	0	"PS"	40.16667	49.66667	"N"	"N"
"vergnier"	"michel"	.5578	"23//1"	.6052	1	0	"PS"	60.91667	48.58333	"I"	"N"
"jammot"	"brigitte"	.4422	"23//1"	.3948	0	1	"UMP"	48.58333	60.91667	"N"	"I"
"auclair"	"jean"	.5515	"23//2"	.5702	1	1	"UMP"	45.33333	71.91666	"I"	"L"
"sarre"	"georges"	.4485	"23//2"	.4298	1	1	"PS"	71.91666	45.33333	"L"	"I"
"deguilhem"	"pascal"	.5222	"24//1"	.5896	1	1	"PS"	51.16667	44.91667	"N"	"N"
"peyrat"	"jerome"	.4778	"24//1"	.4104	1	1	"UMP"	44.91667	51.16667	"N"	"N"
"garrigue"	"daniel"	.5461	"24//2"	.5137	1	0	"UMP"	59.33333	37	"I"	"L"
"labarthe"	"cecile"	.4539	"24//2"	.4863	0	1	"PS"	37	59.33333	"L"	"I"
"peiro"	"germinal"	.527	"24//4"	.5885	1	1	"PS"	53.75	53.75	"I"	"N"
"bousquet"	"dominique"	.473	"24//4"	.4115	1	1	"UMP"	53.75	53.75	"N"	"I"
"branget"	"francoise"	.522	"25//1"	.5015	0	0	"UMP"	53.66667	33.33333	"I"	"L"
"romagnan"	"barbara"	.478	"25//1"	.4985	0	0	"PS"	33.33333	53.66667	"L"	"I"
"grosperrin"	"jacques"	.4744	"25//2"	.5268	1	0	"UMP"	51.83333	58.41667	"N"	"N"
"dufay"	"marie guite"	.5256	"25//2"	.4732	0	1	"PS"	58.41667	51.83333	"N"	"N"
"bonnot"	"marcel"	.515	"25//3"	.5384	1	1	"UMP"	61.41667	66.41666	"I"	"L"
"parrenin"	"joseph"	.485	"25//3"	.4616	1	1	"PS"	66.41666	61.41667	"L"	"I"
"tharin"	"irene"	.5022	"25//4"	.4907	0	1	"UMP"	68.58334	49.75	"I"	"L"
"moscovici"	"pierre"	.4978	"25//4"	.5093	1	0	"PS"	49.75	68.58334	"L"	"I"
"labaune"	"patrick"	.5599	"26//1"	.5546	1	0	"UMP"	56.5	43.5	"I"	"N"
"nakib colomb"	"zabida"	.4401	"26//1"	.4454	0	1	"PS"	43.5	56.5	"N"	"I"
"reynier"	"franck"	.4761	"26//2"	.53	1	0	"UMP"	41.83333	52.75	"L"	"N"
"reme pic"	"anne marie"	.5239	"26//2"	.47	0	1	"PS"	52.75	41.83333	"N"	"L"
"mariton"	"herve"	.5251	"26//3"	.5262	1	1	"UMP"	48.91667	50.83333	"I"	"L"
"gregoire"	"michel"	.4749	"26//3"	.4738	1	1	"PS"	50.83333	48.91667	"L"	"I"
"biancheri"	"gabriel"	.6033	"26//4"	.5768	1	0	"UMP"	61.08333	46.16667	"I"	"L"
"coutard"	"catherine"	.3967	"26//4"	.4232	0	1	"PS"	46.16667	61.08333	"L"	"I"
"nicolas"	"jean pierre"	.5076	"27//2"	.5297	1	1	"UMP"	68.83334	62.25	"I"	"L"
"recours"	"alfred"	.4924	"27//2"	.4703	1	1	"PS"	62.25	68.83334	"L"	"I"
"loncle"	"francois"	.5362	"27//4"	.5351	1	0	"PS"	65.83334	53.66667	"I"	"N"
"miquel"	"francoise"	.4638	"27//4"	.4649	0	1	"UMP"	53.66667	65.83334	"N"	"I"
"gilard"	"franck"	.5297	"27//5"	.5618	1	0	"UMP"	56.91667	54.66667	"I"	"L"
"picard"	"catherine"	.4703	"27//5"	.4382	0	1	"PS"	54.66667	56.91667	"L"	"I"
"gorges"	"jean pierre"	.5431	"28//1"	.5006	1	0	"UMP"	53.66667	44.08333	"I"	"N"
"vallet"	"francoise"	.4569	"28//1"	.4994	0	1	"PS"	44.08333	53.66667	"N"	"I"
"adam"	"patricia"	.5271	"29//2"	.5551	0	1	"PS"	54.33333	59.25	"I"	"N"
"le borgne"	"jean yves"	.4729	"29//2"	.4449	1	0	"UMP"	59.25	54.33333	"N"	"I"
"lamour"	"marguerite"	.5184	"29//3"	.5237	0	1	"UMP"	51.5	52.16667	"I"	"L"
"cuillandre"	"francois"	.4816	"29//3"	.4763	1	0	"PS"	52.16667	51.5	"L"	"I"
"lebranchu"	"marylise"	.5292	"29//4"	.5438	0	1	"PS"	60.33333	58.33333	"I"	"L"
"caroff"	"gilles"	.4708	"29//4"	.4562	1	0	"UMP"	58.33333	60.33333	"L"	"I"
"menard"	"christian"	.5014	"29//6"	.5019	1	1	"UMP"	61.33333	44.58333	"I"	"N"
"ferrand"	"richard"	.4986	"29//6"	.4981	1	1	"PS"	44.58333	61.33333	"N"	"I"
"tanguy"	"helene"	.533	"29//7"	.4899	0	0	"UMP"	58.5	52.91667	"I"	"N"
"le loch"	"annick"	.467	"29//7"	.5101	0	0	"PS"	52.91667	58.5	"N"	"I"
"le bris"	"gilbert"	.5097	"29//8"	.5348	1	0	"PS"	58.25	52.5	"I"	"N"
"triche"	"jeanne yvonne"	.4903	"29//8"	.4652	0	1	"UMP"	52.5	58.25	"N"	"I"
"perissol"	"pierre andre"	.5012	"3//1"	.4547	1	1	"UMP"	60.33333	62.83333	"I"	"N"
"chambefort"	"guy"	.4988	"3//1"	.5453	1	1	"PS"	62.83333	60.33333	"N"	"I"
"charasse"	"gerard"	.5177	"3//4"	.5654	1	1	"PS"	63.25	57.25	"I"	"L"
"malhuret"	"claude"	.4823	"3//4"	.4346	1	1	"UMP"	57.25	63.25	"L"	"I"
"dumas"	"william"	.5546	"30//5"	.5139	1	1	"PS"	65.08334	38.08333	"I"	"N"
"ruas"	"christophe"	.4454	"30//5"	.4861	1	1	"UMP"	38.08333	65.08334	"N"	"I"
"bapt"	"gerard"	.5146	"31//2"	.5377	1	0	"PS"	61.16667	63.83333	"I"	"L"
"damin"	"daniele"	.4854	"31//2"	.4623	0	1	"UMP"	63.83333	61.16667	"L"	"I"
"cohen"	"pierre"	.5105	"31//3"	.5726	1	0	"PS"	57.25	56	"I"	"N"
"danen"	"marie claire"	.4895	"31//3"	.4274	0	1	"UMP"	56	57.25	"N"	"I"
"diebold"	"jean"	.5088	"31//4"	.4354	1	0	"UMP"	68.33334	54.08333	"I"	"N"
