* Dictionary *
session:	session #
period:	period #
round:	round # within the period
id:		id #
position:	position in the network; 1:=s1, 2:=s2, 3:=b1, 4:=s3, 5:=s4, 6:=b2, 7:=b3
vote:		= 1 if the subjected accepted the best offer received, i.e. offer_1
by:		position of subject whose offer is accepted
payoff:	payoff in that round
V:		= 1 if subject is part of the V network, = 0 o/w
X:		= 1 if subject is part of the |X| network, = 0 o/w
N:		= 1 if subject is part of the N network, = 0 o/w
amount:	amount to be divided
offer:	amount offered
offer_1:	best offer received
offer_2:	second best offer received
offer_3:	worst offer received
accepted:	= 1 if offer was accepted, = 0 o/w
link_bt:	= 1 if there is a link from the bottom of the V (b1) to the top of the |X| or the N (s3), 0 o/w
link_tb:	= 1 if there is a link from the top of the V (s2) to the bottom of the |X| or the N (b2), 0 o/w
* Note that 10 observations from 5 periods have been changed after publication of the paper. These were recording mistakes.
**************

session	period	round	id	position	vote	by	payoff	V	X	N	amount	offer	offer_1	offer_2	offer_3	accepted	link_bt	link_tb
1	1	1	1	1			200	1	0	0	2500	1250				0	0	0
1	1	1	4	2			1000	1	0	0	2500	1500				1	0	0
1	1	1	6	3	1	2	1500	1	0	0	2500		1500	1250			0	0
1	1	1	2	4			1000	0	1	0	2500	1000				1	0	0
1	1	1	3	5			0	0	1	0	2500	1000				0	0	0
1	1	1	5	6	1	4	1000	0	1	0	2500		1000	1000			0	0
1	1	1	7	7	0		0	0	1	0	2500		1000	1000		0	0	0
1	1	2	3	5	1	7	1200	0	1	0	2400		1200				0	0
1	1	2	7	7			1200	0	1	0	2400	1200				1	0	0
1	2	1	6	1			0	1	0	0	2500	1500				0	0	0
1	2	1	1	2			0	1	0	0	2500	1600				0	0	0
1	2	1	4	3	0		0	1	0	0	2500		1600	1500		0	0	0
1	2	1	5	4			0	0	1	0	2500	1000				0	0	0
1	2	1	7	5			1250	0	1	0	2500	1250				1	0	0
1	2	1	2	6	1	5	1250	0	1	0	2500		1250	1000			0	0
1	2	1	3	7	1	5	0	0	1	0	2500		1250	1000			0	0
1	2	2	6	1	1	3	400	1	0	0	2400		400				0	0
