* Dictionary *
session:		session #
period:		period #
id:			id #
female:		= 1 if male, 0 o/w
major:		major
group:		identifies subjects that were grouped together
sub_session:	identifies subjects that could be matched together in a session
would_pay:		what the subject offered to pay
would_receive:	what the partner offered to pay
game:			game
exogenous:		= 1 if transfered were determine exogenously, 0 o/w
cooperate:		= 1 if cooperated, 0 o/w
row:			= 1 for row players, 0 o/w
transfer:		= 1 if subjects were in a session where they could offer transfers, 0 o/w
**************

session	period	id	female	major	group	sub_session	would_pay	would_receive	game	exogenous	cooperate	row	transfer
1	1	1	0	"Undecided"	1	1	12	8	1	0	0	1	1
1	1	3	1	"Biopsych"	1	1	8	12	1	0	1	0	1
1	1	2	1	"Physics"	2	1	28	9	1	0	1	0	1
1	1	4	1	"Psych"	2	1	9	28	1	0	1	1	1
1	2	1	0	"Undecided"	1	1	8	10	1	0	0	1	1
1	2	4	1	"Psych"	1	1	10	8	1	0	1	0	1
1	2	2	1	"Physics"	2	1	21	10	1	0	1	0	1
1	2	3	1	"Biopsych"	2	1	10	21	1	0	1	1	1
1	3	2	1	"Physics"	1	1	14	12	1	0	1	0	1
1	3	3	1	"Biopsych"	1	1	12	14	1	0	1	1	1
1	3	1	0	"Undecided"	2	1	8	13	1	0	0	1	1
1	3	4	1	"Psych"	2	1	13	8	1	0	1	0	1
1	4	1	0	"Undecided"	1	1	8	8	1	0	0	1	1
1	4	3	1	"Biopsych"	1	1	8	8	1	0	1	0	1
1	4	2	1	"Physics"	2	1	12	15	1	0	1	1	1
1	4	4	1	"Psych"	2	1	15	12	1	0	1	0	1
1	5	2	1	"Physics"	1	1	10	12	1	0	0	1	1
1	5	3	1	"Biopsych"	1	1	12	10	1	0	0	0	1
1	5	1	0	"Undecided"	2	1	8	20	1	0	0	1	1
1	5	4	1	"Psych"	2	1	20	8	1	0	1	0	1
1	6	2	1	"Physics"	1	1	13	10	1	0	1	0	1
1	6	3	1	"Biopsych"	1	1	10	13	1	0	0	1	1
1	6	1	0	"Undecided"	2	1	8	15	1	0	0	1	1
1	6	4	1	"Psych"	2	1	15	8	1	0	1	0	1
1	7	1	0	"Undecided"	1	1	8	10	1	0	0	1	1
