* Dictionary *
round:		round #
stage:		stage #
amount:		amount to divide
weight:		nominal weight (number of votes)
group:		identifies subjects that were grouped together
id:			id #, constant through session
subject:		subject #, changes across elections
amount1:		offer to subjects #1; set to missing if bf == 0
amount2:		offer to subjects #2; set to missing if bf == 0
amount3:		offer to subjects #3; set to missing if bf == 0
amount4:		offer to subjects #4; set to missing if bf == 0
amount5:		offer to subjects #5; set to missing if bf == 0
selected:		proposal or demand selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w; set to missing if bf == 0
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
experienced:	= 1 if subjects have participated in 1 session before, = 0 o/w
step:			step #; set to missing if bf == 1
d1:			selected demand in step 1; set to missing if bf == 1
d2:			selected demand in step 2; set to missing if bf == 1
d3:			selected demand in step 3; set to missing if bf == 1
d4:			selected demand in step 4; set to missing if bf == 1
demand:		demand; set to missing if bf == 1
close:		= 1 if subject proposed to close the coalition, = 0 o/w; set to missing if bf == 1
bf:			= 1 if game is Baron and Ferejohn, = 0 o/w
total_votes:	total # of votes per group
full:			= 1 if all subjects in that session are paid in full, 0 o/w
**************

round	stage	amount	weight	group	id	subject	amount1	amount2	amount3	amount4	amount5	selected	vote	date	experienced	step	d1	d2	d3	d4	demand	close	bf	total_votes	full
1	1	60	3	1	6	3						0		71702.1	0	1					40	0	0	7	1
1	1	60	1	1	7	4						0		71702.1	0	1					12	0	0	7	1
1	1	60	1	1	8	1						0		71702.1	0	1					35	0	0	7	1
1	1	60	1	1	9	5						1		71702.1	0	1					30	0	0	7	1
1	1	60	1	1	15	2						0		71702.1	0	1					20	0	0	7	1
1	1	60	1	2	2	1						0		71702.1	0	1					15	0	0	7	1
1	1	60	1	2	5	5						1		71702.1	0	1					18	0	0	7	1
1	1	60	3	2	11	4						0		71702.1	0	1					30	0	0	7	1
1	1	60	1	2	13	2						0		71702.1	0	1					15	0	0	7	1
1	1	60	1	2	14	3						0		71702.1	0	1					33	0	0	7	1
1	1	60	3	3	1	5						1		71702.1	0	1					40	0	0	7	1
1	1	60	1	3	3	4						0		71702.1	0	1					15	0	0	7	1
1	1	60	1	3	4	3						0		71702.1	0	1					30	0	0	7	1
1	1	60	1	3	10	2						0		71702.1	0	1					15	0	0	7	1
1	1	60	1	3	12	1						0		71702.1	0	1					20	0	0	7	1
1	1	60	3	1	6	3						0		71702.1	0	2	30				30	1	0	7	1
1	1	60	1	1	7	4						1		71702.1	0	2	30				30	0	0	7	1
1	1	60	1	1	8	1						0		71702.1	0	2	30				33	0	0	7	1
1	1	60	1	1	15	2						0		71702.1	0	2	30				30	0	0	7	1
