* Dictionary *
election:		election #
round:		round #
delta:		delta
amount:		amount to divide
weight:		nominal weight (number of votes)
probability:	selection probability
group:		identifies subjects that were grouped together
id:			id #, constant throught session
subject:		subject #, changes across elections
amount1:		offer to subjects #1
amount2:		offer to subjects #2
amount3:		offer to subjects #3
selected:		proposal selected to take the floor
vote:			= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
date:			session date (month/day/year)
experienced:	= 1 if subjects have participated in 1 session before, 0 o/w
dropped:		identifies all the data that was dropped from the analysis reported in the paper because the proposal on the floor was from a subject that appeared confused, that subject participated in one inexperienced and one experienced session; = 1 if dropped, = 0 o/w
**************

election	round	delta	amount	weight	probability	group	id	subject	amount1	amount2	amount3	selected	vote	date	experienced	dropped
1	1	1	30	33	.3333333	1	3	1	12	12	6	1	1	22702	0	0
1	1	1	30	33	.3333333	1	5	2	10	10	10	0	1	22702	0	0
1	1	1	30	33	.3333333	1	7	3	0	13	17	0	0	22702	0	0
1	1	1	30	33	.3333333	2	4	3	13	0	17	0	0	22702	0	0
1	1	1	30	33	.3333333	2	8	2	20	5	5	0	0	22702	0	0
1	1	1	30	33	.3333333	2	12	1	12	9	9	1	1	22702	0	0
1	1	1	30	33	.3333333	3	9	3	0	15	15	0	1	22702	0	0
1	1	1	30	33	.3333333	3	10	2	15	15	0	0	0	22702	0	0
1	1	1	30	33	.3333333	3	11	1	12	6	12	1	1	22702	0	0
1	1	1	30	33	.3333333	4	2	1	20	5	5	0	0	22702	0	0
1	1	1	30	33	.3333333	4	13	2	15	15	0	0	1	22702	0	0
1	1	1	30	33	.3333333	4	15	3	.5	14.5	15	1	1	22702	0	0
1	1	1	30	33	.3333333	5	1	3	0	10	20	0	1	22702	0	1
1	1	1	30	33	.3333333	5	6	1	15	15	0	1	1	22702	0	1
1	1	1	30	33	.3333333	5	14	2	15	15	0	0	1	22702	0	1
1	2	1	30	33	.3333333	2	4	3	0	13	17	0	0	22702	0	0
