* Dictionary *
round:		round #
stage:		stage #
delta:		delta
amount:		amount to divide
weight:		weight (number of votes)
group:		identifies subjects that were grouped together
id:			id #, constant through session
subject:		subject #, changes across elections
step:			step #
d1:			selected demand in step 1
d2:			selected demand in step 2
demand:		demand
o1:			subject number proposed to go first
o2:			subject number proposed to go second
o3:			subject number proposed to go third
close:		= 1 if subject proposed to close the coalition, = 0 o/w
selected:		demand selected to take the floor
date:			session date (month/day/year/*, * is a decimal to seperate different sessions conducted on the same day)
experienced:	= 1 if subjects have participated in 1 session before, = 0 o/w
total_votes:	total # of votes per group
full:			= 1 if all subjects in that session are paid in full, 0 o/w
**************

round	stage	delta	amount	weight	group	id	subject	step	d1	d2	demand	o1	o2	o3	close	selected	date	experienced	total_votes	full
1	1	1	50	2	1	4	2	1			25	2	3	1	0	1	21004.1	0	5	1
1	1	1	50	2	1	5	1	1			20	1	3	2	0	0	21004.1	0	5	1
1	1	1	50	1	1	15	3	1			27.25	3	1	2	0	0	21004.1	0	5	1
1	1	1	50	1	2	3	3	1			20	3	1	2	0	0	21004.1	0	5	1
1	1	1	50	2	2	13	2	1			16.66	2	3	1	0	0	21004.1	0	5	1
1	1	1	50	2	2	14	1	1			30	1	2	3	0	1	21004.1	0	5	1
1	1	1	50	2	3	7	1	1			18	1	3	2	0	0	21004.1	0	5	1
1	1	1	50	2	3	11	2	1			30	2	1	3	0	0	21004.1	0	5	1
1	1	1	50	1	3	12	3	1			25	3	1	2	0	1	21004.1	0	5	1
1	1	1	50	2	4	1	2	1			28.25	2	1	3	0	0	21004.1	0	5	1
1	1	1	50	2	4	8	3	1			30	3	1	2	0	1	21004.1	0	5	1
1	1	1	50	1	4	9	1	1			18	1	3	2	0	0	21004.1	0	5	1
1	1	1	50	2	5	16	3	1			25	3	2	1	0	0	21004.1	0	5	1
1	1	1	50	2	5	17	2	1			26	2	1	3	0	1	21004.1	0	5	1
1	1	1	50	1	5	18	1	1			24	1	3	2	0	0	21004.1	0	5	1
1	1	1	50	2	6	2	3	1			22	3	2	1	0	0	21004.1	0	5	1
1	1	1	50	1	6	6	1	1			30	1	2	3	0	0	21004.1	0	5	1
1	1	1	50	2	6	10	2	1			16.33	2	1	3	0	1	21004.1	0	5	1
1	1	1	50	1	1	15	3	2	25		25				1	1	21004.1	0	5	1
1	1	1	50	2	2	13	2	2	30		16.66				0	1	21004.1	0	5	1
1	1	1	50	2	3	7	1	2	25		25				1	1	21004.1	0	5	1
1	1	1	50	1	4	9	1	2	30		10				0	1	21004.1	0	5	1
1	1	1	50	1	5	18	1	2	26		23				1	1	21004.1	0	5	1
