* Dictionary *
period:	period #
wage:		wage offer
manager:	manager id #
employee:	employee id #
session:	session #
table:	= 1 if subjects were given a payoff table, = 0 o/w
effort:	employee chosen effort 
cost:		cost associated with chosen effort
**************

period	wage	manager	employee	session	table	effort	cost
1	50	8	3	1	1	.1	0
1	40	5	6	1	1	.1	0
1	10	1	10	1	1	.1	0
1	40	6	5	1	1	.1	0
1	10	10	1	1	1	.1	0
1	50	4	7	1	1	.2	1
1	0	7	4	1	1	.1	0
1	50	3	8	1	1	.1	0
1	10	2	9	1	1	.1	0
1	30	9	2	1	1	.1	0
2	0	7	3	1	1	.1	0
2	0	10	10	1	1	.2	1
2	0	1	9	1	1	.1	0
2	20	5	5	1	1	.1	0
2	40	8	2	1	1	.1	0
2	30	3	7	1	1	.2	1
2	10	6	4	1	1	.1	0
2	0	2	8	1	1	.1	0
2	0	9	1	1	1	.1	0
2	50	4	6	1	1	.8	12
3	55	4	5	1	1	.1	0
3	30	6	3	1	1	.1	0
3	0	1	8	1	1	.1	0
3	0	2	7	1	1	.1	0
3	50	9	10	1	1	.6	8
3	0	8	1	1	1	.1	0
3	40	3	6	1	1	.7	10
3	0	10	9	1	1	.1	0
3	0	5	4	1	1	.1	0
3	0	7	2	1	1	.1	0
4	50	4	4	1	1	.1	0
4	0	6	2	1	1	.1	0
4	10	5	3	1	1	.1	0
4	20	10	8	1	1	.2	1
4	0	2	6	1	1	.1	0
4	40	3	5	1	1	.1	0
4	0	7	1	1	1	.1	0
4	40	8	10	1	1	.6	8
4	50	9	9	1	1	.3	2
4	0	1	7	1	1	.1	0
5	40	3	4	1	1	.1	0
5	10	2	5	1	1	.1	0
5	50	6	1	1	1	.7	10
5	40	7	10	1	1	.5	6
5	30	8	9	1	1	.3	2
5	50	4	3	1	1	.5	6
5	10	5	2	1	1	.1	0
5	0	1	6	1	1	.1	0
5	50	10	7	1	1	.3	2
5	30	9	8	1	1	.3	2
6	40	7	9	1	1	.3	2
6	40	10	6	1	1	.6	8
6	20	2	4	1	1	.2	1
6	50	5	1	1	1	.7	10
6	40	3	3	1	1	.5	6
6	50	6	10	1	1	.8	12
6	40	8	8	1	1	.4	4
6	60	4	2	1	1	.1	0
6	0	1	5	1	1	.1	0
6	40	9	7	1	1	.2	1
7	40	8	7	1	1	.2	1
7	50	9	6	1	1	.8	12
7	30	1	4	1	1	.3	2
7	50	6	9	1	1	.5	6
7	40	5	10	1	1	.6	8
7	40	4	1	1	1	.4	4
7	40	7	8	1	1	.3	2
7	50	2	3	1	1	.4	4
7	30	10	5	1	1	.1	0
7	40	3	2	1	1	.1	0
8	40	5	9	1	1	.4	4
8	50	6	8	1	1	.2	1
8	50	4	10	1	1	.7	10
8	30	8	6	1	1	.3	2
8	50	2	2	1	1	.1	0
8	50	9	5	1	1	.1	0
8	30	7	7	1	1	.1	0
8	40	1	3	1	1	.5	6
8	40	10	4	1	1	.4	4
8	40	3	1	1	1	.4	4
9	50	7	6	1	1	.8	12
9	40	1	2	1	1	.1	0
9	50	10	3	1	1	.4	4
9	30	2	1	1	1	.1	0
9	40	3	10	1	1	.2	1
9	30	8	5	1	1	.1	0
9	40	5	8	1	1	.1	0
9	40	9	4	1	1	.4	4
9	40	6	7	1	1	.2	1
9	50	4	9	1	1	.4	4
10	40	2	10	1	1	.5	6
10	50	4	8	1	1	.1	0
10	40	10	2	1	1	.1	0
10	40	6	6	1	1	.4	4
10	40	1	1	1	1	.3	2
10	50	7	5	1	1	.1	0
10	50	5	7	1	1	.4	4
10	50	8	4	1	1	.1	0
10	40	9	3	1	1	.4	4
10	40	3	9	1	1	.3	2
1	70	12	19	2	1	.1	0
1	30	16	15	2	1	.4	4
1	0	20	11	2	1	.1	0
1	20	13	18	2	1	.1	0
1	10	11	20	2	1	.1	0
1	50	17	14	2	1	.1	0
1	40	14	17	2	1	.4	4
1	20	15	16	2	1	.1	0
1	30	19	12	2	1	.1	0
1	45	18	13	2	1	.1	0
