* Dictionary *
election:	election number
id:		id, constant through session
subject:	subject #, changes across elections
round:	round within the election                  
prop1:	offer to subjects #1
prop2:	offer to subjects #2
prop3:	offer to subjects #3
prop4:	offer to subjects #4
prop5:	offer to subjects #5
prop6:	offer to subjects #6
vote1:	offer to subjects #1 in the selected offer (the proposal on the floor)
vote2:	offer to subjects #2 in the selected offer (the proposal on the floor)
vote3:	offer to subjects #3 in the selected offer (the proposal on the floor)
vote4:	offer to subjects #4 in the selected offer (the proposal on the floor)
vote5:	offer to subjects #5 in the selected offer (the proposal on the floor)
vote6:	offer to subjects #6 in the selected offer (the proposal on the floor)
vote:		= 1 if the subject votes in favor of the selected offer (the proposal on the floor), = 0 o/w
proposer:	id of the subject selected to be the proposer
session:	session #
open:		= 1 if the amendment rule is open, = 0 o/w
second:	= 1 if the subject votes to second the selected offer (the proposal on the floor), = 0 o/w
amend1:	offer to subjects #1 in the amendment
amend2:	offer to subjects #2 in the amendment
amend3:	offer to subjects #3 in the amendment
amend4:	offer to subjects #4 in the amendment
amend5:	offer to subjects #5 in the amendment
decider:	id of the subject selected to determine if there is an amendment
amflo1:	offer to subjects #1 in the selected amendment
amflo2:	offer to subjects #2 in the selected amendment
amflo3:	offer to subjects #3 in the selected amendment
amflo4:	offer to subjects #4 in the selected amendment
amflo5:	offer to subjects #5 in the selected amendment
runoff:	= 1 if the subject votes in favor of the original offer, = 0 o/w
computer:	= 1 if there is a confederate subject in the session playing a pre-determined strategy, 0 o/w
dropped:	identifies cases that were dropped from the analysis because there were problems when the forms were filled out which were not immediately caught by the experimenters (such as offers that summed to more than the available amount of money); = 1 if dropped, = 0 o/w
**************

election	id	subject	round	prop1	prop2	prop3	prop4	prop5	prop6	vote1	vote2	vote3	vote4	vote5	vote6	vote	proposer	session	open	second	amend1	amend2	amend3	amend4	amend5	decider	amflo1	amflo2	amflo3	amflo4	amflo5	runoff	computer	dropped
1	"A"	1	1	10	6	6	2	1		7	3	5	4	6		1	"E"	1	0							""							0	
1	"A"	2	1	2	10	5	3	5		10	0	8	0	7		0	"D"	1	0							""							1	0
1	"B"	4	1	5	5	3	7	5		10	0	8	0	7		0	"D"	1	0							""							1	0
1	"B"	5	1	2	2	7	7	7		7	3	5	4	6		1	"E"	1	0							""							0	
1	"C"	2	1	10	7	1	6	1		7	3	5	4	6		0	"E"	1	0							""							0	
1	"C"	5	1	5	7	4	2	7		10	0	8	0	7		1	"D"	1	0							""							1	0
1	"D"	1	1	10	0	8	0	7		10	0	8	0	7		1	"D"	1	0							""							1	0
1	"D"	3	1	5	3	7	5	5		7	3	5	4	6		1	"E"	1	0							""							0	
1	"E"	6	1	5	5	5	5	5		10	0	8	0	7		0	"D"	1	0							""							1	0
1	"E"	4	1	7	3	5	4	6		7	3	5	4	6		0	"E"	1	0							""							0	
1	"F"	3	1	5	5	8	2	5		10	0	8	0	7		1	"D"	1	0							""							1	0
2	"A"	4	1	4	6	5	8	2		2	6.5	6	1	9.5		0	"C"	1	0							""							0	
2	"A"	5	1	5	3	4	3	10		12	0	6.5	0	6.5		1	"D"	1	0							""							1	0
2	"B"	2	1	7	7	7	2	2		2	6.5	6	1	9.5		1	"C"	1	0							""							0	
2	"B"	3	1	8	0	9	0	8		12	0	6.5	0	6.5		1	"D"	1	0							""							1	0
2	"C"	4	1	7	8	0	10	0		12	0	6.5	0	6.5		0	"D"	1	0							""							1	0
2	"C"	5	1	2	6.5	6	1	9.5		2	6.5	6	1	9.5		1	"C"	1	0							""							0	
2	"D"	1	1	12	0	6.5	0	6.5		12	0	6.5	0	6.5		1	"D"	1	0							""							1	0
2	"D"	1	1	10	7	8	0	0		2	6.5	6	1	9.5		0	"C"	1	0							""							0	
2	"E"	6	1	5	5	5	5	5		12	0	6.5	0	6.5		0	"D"	1	0							""							1	0
2	"E"	3	1	5	3	10	2	5		2	6.5	6	1	9.5		1	"C"	1	0							""							0	
2	"F"	2	1	5	9	6	4	1		12	0	6.5	0	6.5		0	"D"	1	0							""							1	0
3	"A"	4	1	5	5	5	5	5		0	0	8	7	10		1	"D"	1	0							""							0	
3	"A"	5	1		0	3	3	14	5		0	3	3	14	5	1	"A"	1	0							""							1	0
3	"B"	4	1		7	0	11	7	0		0	3	3	14	5	0	"A"	1	0							""							1	0
3	"B"	3	1	2	7	7	7	2		0	0	8	7	10		1	"D"	1	0							""							0	
3	"C"	6	1		0	8	0	8	9		0	3	3	14	5	0	"A"	1	0							""							1	0
3	"C"	1	1	10	6.5	6.5	1	1		0	0	8	7	10		0	"D"	1	0							""							0	
3	"D"	1	1		14	5.5	5.5	0	0	0	0	3	3	14	5	0	"A"	1	0							""							1	0
3	"D"	5	1	0	0	8	7	10		0	0	8	7	10		1	"D"	1	0							""							0	
3	"E"	2	1	4	7	5	6	3		0	0	8	7	10		0	"D"	1	0							""							0	
3	"E"	3	1		7	11	7	0	0		0	3	3	14	5	0	"A"	1	0							""							1	0
3	"F"	2	1		15	2	2	2	4		0	3	3	14	5	0	"A"	1	0							""							1	0
3	"A"	5	2		4	4	4	4	4		3	8	3	3	3	1	"E"	1	0							""							1	0
3	"B"	4	2		0	6	8	6	0		3	8	3	3	3	0	"E"	1	0							""							1	0
3	"C"	6	2		6	0	0	6	8		3	8	3	3	3	0	"E"	1	0							""							1	0
3	"D"	1	2		11.2	4.4	4.4	0	0		3	8	3	3	3	0	"E"	1	0							""							1	0
3	"E"	3	2		3	8	3	3	3		3	8	3	3	3	1	"E"	1	0							""							1	0
3	"F"	2	2		10	3	2	2.5	2.5		3	8	3	3	3	1	"E"	1	0							""							1	0
4	"A"	1	1	5	5	5	5	5		5	5	5	5	5		1	"A"	1	0							""							0	
4	"A"	2	1	4	7		5	5	4	2.5	2.5		2.5	2.5	15	0	"F"	1	0							""							1	0
4	"B"	3	1	5	5		5	5	5	2.5	2.5		2.5	2.5	15	0	"F"	1	0							""							1	0
4	"B"	4	1	0	0	7	10	8		5	5	5	5	5		1	"A"	1	0							""							0	
4	"C"	4	1	8	0		9	0	8	2.5	2.5		2.5	2.5	15	0	"F"	1	0							""							1	0
4	"C"	2	1	0	11	7	0	7		5	5	5	5	5		0	"A"	1	0							""							0	
4	"D"	5	1	2	3	5	7	8		5	5	5	5	5		1	"A"	1	0							""							0	
4	"D"	5	1	0	0		5.5	14	5.5	2.5	2.5		2.5	2.5	15	0	"F"	1	0							""							1	0
4	"E"	1	1	11	7		7	0	0	2.5	2.5		2.5	2.5	15	0	"F"	1	0							""							1	0
4	"E"	3	1	7.5	2.5	4	5	6		5	5	5	5	5		1	"A"	1	0							""							0	
