NOTE: A bug in the code of the experimental software used to run some of the early sessions led to a loss of data. This loss is reflected in the data file. The bug affected a small share of the data collected in the initial 12 sessions (out of 32 sessions in total), specifically 0.3% of sender-receiver interactions. 
Because of an integer problem, some subjects in some rounds observed the realization of an event that was supposed to have zero probability. Despite affecting a minimal number of interactions, we decided to discard not only the affected interactions, but also the subjects that participated in those interactions. This led to dropping about 6% of the total amount of data that we collected.

* Dictionary *
treatment:			treatment indicator.
verifiable:			= 1 if messages are verifiable, 0 o/w.
rho:				level of commitment in %, {20, 80, 100}.
session:			session identifier.
id:					unique subject identifier.
oid:				unique subject identifier for other subject in a match.
match:				match identifier.
role:				sender or receiver, {S, R}.
color:				= 1 if drawn ball is red, 0 o/w.
rred, rblue,...		First letter indicates ball color. Word that comes next is the color of the message. Indicates probability of that message for that state in commitment stage (in %).
revrred, ...		Same as above for revision stage.
rdec, bdec, ndec	Receiver guess (=1 if red, 0 o/w) when message is red, blue, or when there is no message.
message				-1 (no msg), 0 (blue msg), 1 (red msg).
**************


treatment	verifiable	rho	session	id	oid	match	role	color	rred	rblue	rnone	bred	bblue	bnone	revrred	revrblue	revrnone	revbred	revbblue	revbnone	rdec	bdec	ndec	message
"V20"	1	20	7	111	8	1	"R"	1	100	0	0	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	111	6	2	"R"	0	75	0	25	0	76	24				0	64	36	1	0	0	-1
"V20"	1	20	7	111	9	3	"R"	1	91	0	9	0	8	92	23	0	77				1	0	0	-1
"V20"	1	20	7	111	7	4	"R"	0	50	0	50	0	25	75				0	26	74	1	0	0	-1
"V20"	1	20	7	111	12	5	"R"	1	0	0	100	0	0	100	0	0	100				1	0	0	-1
"V20"	1	20	7	111	15	6	"R"	0	0	0	100	0	0	100				0	93	7	1	0	0	0
"V20"	1	20	7	111	5	7	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	111	10	8	"R"	0	75	0	25	0	50	50				0	0	100	1	0	0	-1
"V20"	1	20	7	111	11	9	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	111	7	10	"R"	0	50	0	50	0	75	25				0	0	100	1	0	0	0
"V20"	1	20	7	111	12	11	"R"	0	75	0	25	0	65	35				0	40	60	1	0	0	-1
"V20"	1	20	7	111	15	12	"R"	0	0	0	100	0	98	2				0	0	100	1	0	0	0
"V20"	1	20	7	111	5	13	"R"	1	100	0	0	0	0	100	100	0	0				1	0	0	1
"V20"	1	20	7	111	10	14	"R"	1	0	0	100	0	50	50	0	0	100				1	0	0	-1
"V20"	1	20	7	111	11	15	"R"	0	100	0	0	0	0	100				0	23	77	1	0	0	-1
"V20"	1	20	7	111	8	16	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	111	6	17	"R"	0	100	0	0	0	95	5				0	6	94	1	0	0	0
"V20"	1	20	7	111	9	18	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	111	15	19	"R"	1	0	0	100	0	100	0	100	0	0				1	0	0	1
"V20"	1	20	7	111	5	20	"R"	0	100	0	0	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	111	10	21	"R"	0	31	0	69	0	56	44				0	0	100	1	0	0	0
"V20"	1	20	7	111	11	22	"R"	0	0	0	100	0	0	100				0	0	100	1	0	0	-1
"V20"	1	20	7	111	8	23	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	111	6	24	"R"	0	100	0	0	0	100	0				0	0	100	1	0	0	-1
"V20"	1	20	7	111	9	25	"R"	1	100	0	0	0	28	72	100	0	0				1	0	0	1
"V20"	1	20	7	114	7	1	"R"	0	100	0	0	0	50	50				0	33	67	1	0	0	-1
